;Iteration 0;Iteration 1;Iteration 2;Iteration 3;Iteration 4;Iteration 5;Iteration 6;Iteration 7;Iteration 8;Iteration 9;Iteration 10;Iteration 11;Iteration 12;Iteration 13;Iteration 14;Iteration 15;Iteration 16;Iteration 17;Iteration 18;Iteration 19;Iteration 20;Iteration 21;Iteration 22;Iteration 23;Iteration 24;Iteration 25;Iteration 26;Iteration 27;Iteration 28;Iteration 29;Iteration 30;Iteration 31;Iteration 32;Iteration 33;Iteration 34;Iteration 35;Iteration 36;Iteration 37;Iteration 38;Average
IsoForest;0,662044023847628;0,7134332030269841;0,6502337126864082;0,6882759938026615;0,6239273326009611;0,5218601992905911;0,6837039863143515;0,7788331511797673;0,5711749773438788;0,6440334107785701;0,6120718698816163;0,6191257087858055;0,6977505332544163;0,7354885437149267;0,6741640973704508;0,5967326256091428;0,6919272200703825;0,6533357460509779;0,6125724239613917;0,5816415788516638;0,6972396328122267;0,5932789200454882;0,6891277387350145;0,7154004838447021;0,6897643737329247;0,6476237310539026;0,6819646404781382;0,5906845448129852;0,5608872247510155;0,6083231334149326;0,7368888478633626;0,631817739494805;0,684857848199303;0,6288393603757023;0,6721655432872617;0,6896291005092088;0,6041018438926353;0,6969678805933569;0,6091359987518141;0,6523340750018297
FMA;0,6799092771436933;0,6490134390029281;0,6653869069470226;0,6546256917169557;0,6704412880223303;0,6613007099922508;0,6743965334111222;0,6579893763409718;0,6483029705621068;0,6570282262928575;0,6307130869619312;0,6444652830663061;0,6452784877570403;0,6533333333333333;0,6553063709542039;0,6576942966777675;0,6758822276654706;0,6364985535149337;0,6695059367361099;0,6640910400909779;0,6532448272786994;0,6648418714968627;0,6571968515399172;0,6545929237576589;0,6363027231448847;0,645402473050588;0,6406156527837943;0,6439827281684087;0,6468653250773995;0,6388085120121392;0,638903663051718;0,6524916228989935;0,6523590223077425;0,6627075398881659;0,6580704113049197;0,6600437186209007;0,6742726755056765;0,6501279520504606;0,6444741305864214;0,6545248118132222
OPENCAST;0,909616028702646;0,914706736353078;0,923101801302522;0,9265361809308916;0,919700743200506;0,9250586528904609;0,939404413887876;0,9300884190830652;0,9275640898798908;0,934695447108732;0,918222053735095;0,9097668535515144;0,9234556276209888;0,923524775127269;0,9313923345183108;0,9260707049340934;0,9287770065223202;0,92487979433599;0,9329251513483764;0,9332515141297262;0,9311414578357378;0,9311240859345168;0,928715807348925;0,924921976607998;0,932754360171894;0,9222639013345167;0,9231472660920792;0,9243155485433032;0,9250897739919056;0,9278895460139478;0,9377877317406992;0,9191501702087728;0,9324409175954054;0,9299456094164452;0,9341352324868216;0,9310142959336508;0,9268318686931684;0,9321813200227872;0,929174619491743;0,9268400979135302
OCSVM;0,6712864436087971;0,6745662117531515;0,6676493066928704;0,6753190494302515;0,6970272868242675;0,6735085163097497;0,6975613318793201;0,6839603110966861;0,6780717235089971;0,6957349340109925;0,6662665364275105;0,6858147306393649;0,6802005781973546;0,6919897910666974;0,6945926942407817;0,6662831957206584;0,6932443844871458;0,6618563026616703;0,6861807202647974;0,682658634452604;0,6792176875715892;0,6908613294273795;0,6767681823110867;0,6901231600459967;0,6662012342633683;0,6739905450247101;0,6682101616688274;0,6711665656740236;0,6803939196489694;0,6779104974581698;0,6711562044279464;0,6798308944187841;0,6857445243901152;0,6901445600777762;0,6781901273601709;0,6797309218274024;0,7118565342310987;0,6876840587714581;0,6828027359327136;0,681173244302699
CMA;0,6274304382651379;0,6148529657028332;0,6363495923866944;0,6378386208894684;0,6649670957750353;0,6464977920480157;0,65423484440568;0,6372756290676947;0,6370310658068095;0,6646381928986937;0,63557451835627;0,6473443511886013;0,645903166616983;0,651839152927358;0,6507327259759264;0,6351307354641698;0,6424639720090863;0,620103888209951;0,6428296009536668;0,6402716711132714;0,6404443945685108;0,6433805639873021;0,640173000567215;0,6461749899959122;0,6203415461050079;0,6338984065405875;0,6351054330654577;0,6364976679652843;0,6405415082024157;0,6479500891265597;0,6297393364928909;0,6380030431128032;0,6409134453518084;0,6494878079509493;0,6395857936392104;0,6518614313995847;0,6560227111556913;0,6438417554914591;0,6381304737798019;0,6411641902194821
CDD;0,273653442331815;0,255873906638985;0,2916383891515273;0,2767705477424183;0,2908018450231877;0,2749600987974901;0,2807486631016042;0,2666085791471643;0,2766703002325776;0,2725961169082098;0,2791024618672946;0,2810835381811281;0,2819648917643014;0,2879100066215121;0,2884684422692428;0,2858937710607646;0,3014602361640517;0,268583429954747;0,292529560779741;0,2765671776809204;0,2780833509625555;0,2755422542267295;0,2842864016542196;0,2832568807339449;0,2700994530588209;0,2867789599440975;0,286016500951978;0,2828519023983171;0,2748688066921759;0,2781090098506227;0,2769564195554907;0,2752959641880642;0,2897444407567209;0,292426850288414;0,2807614208778033;0,292307648865998;0,2879557083466581;0,2894107110815407;0,2823778317175126;0,2813081005530858
LOF;0,2991536213472409;0,2898135157974189;0,3029334882370026;0,312638729622253;0,3205917163604077;0,3103522928524083;0,3057608182238516;0,2965036615005436;0,2976849640860072;0,3041719180503233;0,3054737557979051;0,3143577578884675;0,3039969331128148;0,3028238545926949;0,3030652783521274;0,3070259497736574;0,3279606000328263;0,2990075584382093;0,306907833117695;0,3083370885630995;0,3051177754726355;0,3024826535440233;0,311018733392016;0,307760466661744;0,3046189542665794;0,3002544093393511;0,3021784438269154;0,3185398260393123;0,3033734206370097;0,2840651550319699;0,3148765726424873;0,3038107877116806;0,3142812867234009;0,3051733626857457;0,3152525644092167;0,3225229348683313;0,3282278071405458;0,3274345335515548;0,3203355600434985;0,3079458098393584
