;Iteration 0;Iteration 1;Iteration 2;Iteration 3;Iteration 4;Iteration 5;Iteration 6;Iteration 7;Iteration 8;Iteration 9;Iteration 10;Iteration 11;Iteration 12;Iteration 13;Iteration 14;Iteration 15;Iteration 16;Iteration 17;Iteration 18;Iteration 19;Iteration 20;Iteration 21;Iteration 22;Iteration 23;Iteration 24;Iteration 25;Iteration 26;Iteration 27;Iteration 28;Iteration 29;Iteration 30;Iteration 31;Iteration 32;Iteration 33;Iteration 34;Iteration 35;Iteration 36;Iteration 37;Iteration 38;Average
LOF;0,5430701499801159;0,5281841182842415;0,5263381919355508;0,5115796295929433;0,504983276287007;0,4846735667513629;0,5106498618405491;0,5136912867049983;0,5552048827861285;0,5062877863429917;0,5067274020445848;0,5312839269399103;0,5142251405618237;0,4829216877692249;0,548439244758186;0,5461762636920913;0,5177305055596605;0,5457730521996152;0,5120135455960925;0,5314720838562657;0,5344699164114872;0,5381523255843945;0,5224282824078214;0,5545702232021407;0,5411236765414471;0,5332955444149902;0,4888611956127802;0,499878484206825;0,4981397271599834;0,4889002557544757;0,5028216401387956;0,5001615484340631;0,5343612379556789;0,5393673283500366;0,5192644510406401;0,4913800393848235;0,48711437462523;0,4943319168169949;0,5383154407259448;0,5186759798013306
CMA;0,4228903284238497;0,4431470441366972;0,4458696698856449;0,4567513833168936;0,4502274572455266;0,4512528044528727;0,4339816298109046;0,4350099409854729;0,43937755296108;0,436144140143674;0,4317362535247372;0,4465964759532312;0,4497136512972771;0,4495309234983304;0,441749711612407;0,4670422417077015;0,4537565939382589;0,4551785385415395;0,4463151898946239;0,4337112606641287;0,4564447465030166;0,4505077779005412;0,447718250257354;0,4482369072823337;0,4438912423419013;0,4485071503120771;0,4297838968310625;0,4499560048207039;0,455792477112368;0,4336689263121887;0,449257191422044;0,4585133730788163;0,4580069085163987;0,4595075580974395;0,4657704561348978;0,4602987001375965;0,4454754586890584;0,4452661787255493;0,4575868125384785;0,4475428925386842
OCSVM;0,6885860910765046;0,6863114645477539;0,4187009574246857;0,443146192910297;0,5839190183843286;0,7132971725873816;0,5596639199624419;0,6141000983300313;0,5367374224416087;0,475424526425149;0,3915085802490966;0,4652420571695531;0,4662287899264217;0,5066590618612068;0,5452659598503116;0,3995970011779005;0,4357884294204817;0,7074938004713437;0,4086452445565479;0,4371116831273466;0,7059864048113584;0,5524834402599567;0,5935368487879655;0,5489605375542145;0,5711390096471152;0,6258904089552273;0,5041514833857469;0,6613190845014489;0,7078780309611381;0,7038058862255968;0,4924634330021172;0,6371205148775788;0,5513058142934715;0,526089177243624;0,3897235636843231;0,4109155669707792;0,4012518746416126;0,5216079719378175;0,5251331261900278;0,5413894782008081
IsoForest;0,3570587149588518;0,3810570206491285;0,3724676085757047;0,4255627626574003;0,3835654573944306;0,4077733687931126;0,3701997542861452;0,3632131948665917;0,3894351807701662;0,3484693122223746;0,4773182052704815;0,3975434090109933;0,4093440516974858;0,3789598661847597;0,3701589118096255;0,3969168202462462;0,3286140219159377;0,4000759765944459;0,4046356295992617;0,4180272941835024;0,4167183477475358;0,4132788374682268;0,3986831612732582;0,3757271715061364;0,4093215280541186;0,391454028475848;0,3633319805194805;0,4181473979037381;0,3741333756155736;0,3146683656589298;0,3800757080982319;0,381773292639592;0,3575592360440076;0,38900163524186;0,3919140782489786;0,3479277438126743;0,4182023716992626;0,3960563569047259;0,3352253018839292;0,3859896533457116
OPENCAST;0,837530731475199;0,8411078746570998;0,8696899990891462;0,8528798179208816;0,8660336983690277;0,851956515152767;0,8624495375562298;0,853755729075264;0,8555898988333739;0,8547103962445364;0,8563360403454371;0,856291572955858;0,8553990320674117;0,8616051282482502;0,8580519900765828;0,8570033947218637;0,8480675683367558;0,870868112411305;0,8595054161109524;0,8620882673862633;0,8704319806549237;0,8610849978088124;0,8690916785377728;0,8441751406567054;0,865136450179818;0,8548888395095492;0,8436084755269606;0,858890032479682;0,868425536257373;0,8512778280685684;0,8678349405257233;0,8630559926697607;0,8629543195660074;0,8589382771907677;0,8658737688623837;0,8425624688703064;0,8565273727345146;0,854402446462456;0,8603524774177582;0,8577034293593345
CDD;0,32562665956671;0,3490200195089498;0,3569438653481941;0,3578941594257805;0,3579255968122269;0,3708130645563883;0,3504839727116153;0,3559094661529994;0,3718543950684717;0,3533491722869405;0,3725366252695768;0,3500583848722666;0,3490710034908503;0,3725356218279503;0,3708130645563883;0,3722467396899821;0,3606499002474477;0,3527826229725883;0,3386893330288235;0,3578653771878937;0,3815990231575545;0,361311888450793;0,3533236432900776;0,3593418457253859;0,3390104513707668;0,3536306202998638;0,3514575827055355;0,349217265455831;0,3251084148923623;0,3363327644757029;0,3347064853054051;0,3415507796038769;0,3716743745296171;0,369781827459666;0,3621915355501862;0,3647227702028531;0,3656539103874129;0,3459110686268046;0,3539253539253539;0,355577452564028
FMA;0,457728103429273;0,4479292824233655;0,42940681997297;0,467628958679041;0,4515044026501766;0,4491928615394855;0,444130959384342;0,429167028687577;0,447187263194544;0,4331672597409226;0,4226447145224179;0,4328649930309681;0,4394259721955282;0,4611978447913791;0,4361270855093865;0,46999787999152;0,4619062425437008;0,4422347537754937;0,4549265039226082;0,4293717486994798;0,4498217422444872;0,4320963446548812;0,4390662472378019;0,4494446112470783;0,4497336710968108;0,4272362721222485;0,428395518620866;0,453997815991264;0,4311666855343726;0,4077471952685128;0,4392438974446332;0,4456;0,4459148038602415;0,4473700175064855;0,4364306591968112;0,4518144062853919;0,4327163112356119;0,4332049665334752;0,4334052114547767;0,4421063347748699
