,Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9,Iteration 10,Iteration 11,Iteration 12,Iteration 13,Iteration 14,Iteration 15,Iteration 16,Average
CMA,0.5557311799475402,0.5968703001661986,0.6035208631495275,0.5911330112325603,0.6349909567803564,0.6032961805259307,0.6430908960387384,0.5654644623689018,0.6371437488991416,0.5761520927450131,0.5735669770267009,0.547628778626654,0.5570006530798416,0.5670543611084446,0.6314730813557083,0.5983509963749648,0.6032427536883702,0.5932771348890936
LOF,0.4284149874005981,0.4342991037184287,0.474491760929707,0.4535956614651,0.4732631463988456,0.4218993410803756,0.4004907899232752,0.3478791633293925,0.3852413207251917,0.3997156557169485,0.3759062361529196,0.3955065376686032,0.3818553042651453,0.3405904032735231,0.4134897360703812,0.4151750937241346,0.3906324812523157,0.4077909837114639
OPENCAST,0.8026330332302815,0.7035838697073096,0.7071953151250421,0.6748429398957021,0.6399759179168896,0.6811223899474227,0.6008649984553599,0.5839905379221297,0.6511392354888949,0.619995445204921,0.6276522219918446,0.4749256373742982,0.6438408011725529,0.4050475338782098,0.5029907427640464,0.6474470703062147,0.6996863835429972,0.6274667102308304
CDD,0.2767079534270487,0.305011748211626,0.3429003548774695,0.3174993174993175,0.348048887213159,0.4082184385498222,0.4746987511533788,0.4113037877575802,0.5779172717852699,0.4811695969906329,0.4429025620853225,0.5619690925391696,0.3190683721206744,0.2470268996417827,0.3194383562723532,0.4289999054177437,0.3752524896134252,0.3904784579503397
OCSVM,0.5344244854129547,0.58479973427183,0.6239349170609931,0.589185210667584,0.6428936815448265,0.6065455405068593,0.6458697414529041,0.5371113079893544,0.6317283153188146,0.5287237804838412,0.6037717725409837,0.5642256092486397,0.5535840306482509,0.576779826881277,0.5875769719564433,0.6389171613837759,0.5860863919764487,0.5903622634909284
IsoForest,0.7460935684229157,0.7498653022522008,0.7401187368615584,0.6462235659974251,0.73559549516649,0.6842793108652128,0.563322745841115,0.5460069444444444,0.6042726265119236,0.6475432160079463,0.584474178522815,0.5896344843035394,0.5702457968913294,0.3350414549049243,0.4306484817292846,0.6834559028207159,0.6667364544111237,0.6190328391738216
FMA,0.53126354274348,0.612167372358948,0.6511857125667868,0.588613730615084,0.6255679696252956,0.6134408779343854,0.4700913341630519,0.4367841825468944,0.6041831927603568,0.6500250747695849,0.5989898657541458,0.5387186886744108,0.5471773298858433,0.4833339775553065,0.5053446013830485,0.638786996331868,0.5671913997345898,0.5684038734942988
