,Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9,Iteration 10,Iteration 11,Iteration 12,Iteration 13,Iteration 14,Iteration 15,Average
CDD,0.4905237415936417,0.491869918699187,0.4878098750256095,0.2760513685196328,0.0724713339930517,0.0945533036189835,0.4750200155526702,0.0969706246465536,0.4104287315795282,0.2930586347937433,0.5010958270465534,0.265762749728934,0.39815376088952,0.1114053622305429,0.3540779561087455,0.4244817993025351,0.3277334377080896
FMA,0.4827406945310876,0.4790780237731293,0.4878098750256095,0.4853062931194173,0.4899045953429971,0.4963856791312256,0.4850568399164321,0.4913867198215167,0.4868419938886584,0.4928460040110833,0.4845360824742268,0.5330252653634688,0.5322097950103143,0.4913703388485477,0.5082237264110074,0.4365293876238973,0.4914532071432887
OPENCAST,0.5120175410234579,0.4976765256020575,0.4943706600148317,0.5065146126169984,0.5106259035732563,0.5152684024429444,0.4834190769361188,0.4987468671679198,0.4931936489591246,0.4998356602883804,0.5157384987893462,0.4561158052032936,0.4544688127453959,0.4972675272029205,0.461691999691537,0.4902553550568004,0.492950431082149
OCSVM,0.5035897435897436,0.4960060859642449,0.4974335607167267,0.5110624902324128,0.5164151539452262,0.4858772721989253,0.4731129918149716,0.5021872966409446,0.4949840383144078,0.5023793976991199,0.5056963276718158,0.4696100917431192,0.4984257439239432,0.4347517863976562,0.4821493035157899,0.4891165017963033,0.4914248616353345
LOF,0.2200888492068174,0.2126433237789672,0.235375097444063,0.2174326645749826,0.2512053365035334,0.2366407214559705,0.2364532019704433,0.2478608604208857,0.2552874590408102,0.2365617203915309,0.2489328362241314,0.3290960451977401,0.3186614410611998,0.2448612810173228,0.2879919541886072,0.387325912613189,0.2604011690681371
CMA,0.4807533393357096,0.4780518259064669,0.4841507177033493,0.4841583407201242,0.4876787847125108,0.4928002426294888,0.491614972936812,0.4949765863156345,0.4893319062927794,0.4864052437055571,0.4842373635417926,0.5292467948717949,0.5424642509415688,0.490281124951321,0.5044299416700402,0.4392710503068507,0.4912407804088625
IsoForest,0.3634684435249301,0.3159125893475824,0.4138312285214518,0.4686255806237558,0.4395571549137284,0.4521406244938943,0.4461637037844912,0.4240661356564321,0.4081278968910091,0.407934659603431,0.4253207949935664,0.4753534483228313,0.4166744414451463,0.3560695178025527,0.426819200377403,0.4957499330261253,0.4209884595830207
