Parameters;Iteration 0;Iteration 1;Iteration 2;Iteration 3;Iteration 4;Iteration 5;Iteration 6;Iteration 7;Iteration 8;Iteration 9;Iteration 10;Iteration 11;Iteration 12;Iteration 13;Iteration 14;Iteration 15;Iteration 16;Average
n_estimators:1| max_samples:0.1 | max_features:0.1;0.2724097788125728;0.30342713847868485;0.34141201264488935;0.31917211328976036;0.3212055389628021;0.2780825873520069;0.3106465887325804;0.5723219020888003;0.5098859490248576;0.5069858829936112;0.273678094131319;0.5813810741687979;0.2961107372566091;0.3254218097742412;0.4803812937265741;0.4724025974025974;0.6839505360603744;0.40287503734712227
n_estimators:1| max_samples:0.1 | max_features:0.2;0.2724097788125728;0.30342713847868485;0.34141201264488935;0.31917211328976036;0.3212055389628021;0.2780825873520069;0.3106465887325804;0.5723219020888003;0.5098859490248576;0.5069858829936112;0.273678094131319;0.5813810741687979;0.2961107372566091;0.3254218097742412;0.4803812937265741;0.4724025974025974;0.6839505360603744;0.40287503734712227
n_estimators:1| max_samples:0.1 | max_features:0.3;0.2724097788125728;0.30342713847868485;0.34141201264488935;0.31917211328976036;0.3212055389628021;0.2780825873520069;0.3106465887325804;0.5723219020888003;0.5098859490248576;0.5069858829936112;0.273678094131319;0.5813810741687979;0.2961107372566091;0.3254218097742412;0.4803812937265741;0.4724025974025974;0.6839505360603744;0.40287503734712227
n_estimators:1| max_samples:0.1 | max_features:0.4;0.2724097788125728;0.30342713847868485;0.34141201264488935;0.31917211328976036;0.3212055389628021;0.2780825873520069;0.3575769406124672;0.548086714307749;0.5388719319291959;0.38892050841164905;0.2942736305048335;0.3696934344416359;0.3460285558380035;0.26351362102026143;0.29557464068706474;0.4584259820766795;0.6914032839787396;0.3757693184322939
n_estimators:1| max_samples:0.1 | max_features:0.5;0.6867588104241296;0.6745639681419497;0.7755870379073095;0.6693407631583161;0.7232299385988694;0.7487879768813042;0.6337903928395363;0.45202744990641197;0.5150826342570416;0.3934393425547864;0.35178551879245806;0.3866498095026567;0.2784677400825041;0.2531698258196721;0.35777483233278606;0.32224814289839093;0.44091594679829976;0.5096247135821426
n_estimators:1| max_samples:0.1 | max_features:0.6;0.6867588104241296;0.6745639681419497;0.7755870379073095;0.6693407631583161;0.7232299385988694;0.7487879768813042;0.6337903928395363;0.45202744990641197;0.5150826342570416;0.3934393425547864;0.35178551879245806;0.3866498095026567;0.2784677400825041;0.2531698258196721;0.35777483233278606;0.32224814289839093;0.44091594679829976;0.5096247135821426
n_estimators:1| max_samples:0.1 | max_features:0.7;0.5391756488362233;0.6724766296093414;0.6802490437636497;0.5869874867281955;0.6990257140039359;0.5839696735046069;0.6172005912113765;0.5891531654926905;0.4999568427482538;0.3557493893681083;0.28182447206807576;0.3983941714945467;0.3106353987378084;0.23477564102564102;0.5427103712327617;0.44053639592538213;0.5796413819618516;0.5066154128066146
n_estimators:1| max_samples:0.1 | max_features:0.8;0.5391756488362233;0.6724766296093414;0.6802490437636497;0.5869874867281955;0.6990257140039359;0.5839696735046069;0.6172005912113765;0.5891531654926905;0.4999568427482538;0.3557493893681083;0.28182447206807576;0.3983941714945467;0.3106353987378084;0.23477564102564102;0.5427103712327617;0.44053639592538213;0.5796413819618516;0.5066154128066146
n_estimators:1| max_samples:0.1 | max_features:0.9;0.6965812225866628;0.7016877238146147;0.5175791256624079;0.7459882544968879;0.6720081036881544;0.713213748856259;0.7923565514304853;0.47646467838871887;0.5172196498136395;0.5750482454669004;0.5939902136915756;0.5055147610578059;0.5487227771528089;0.32464396574184495;0.3875050355566131;0.6481451124662105;0.5848838510342297;0.5883266482885776
n_estimators:1| max_samples:0.1 | max_features:1.0;0.5526853939932354;0.6594049225628174;0.6780939431988926;0.6371692900087063;0.5737933593248419;0.6056348147147412;0.4833709664990882;0.5360770094521603;0.5376602564102564;0.66852229345616;0.6179406559574423;0.5349091134168028;0.5591582170643464;0.4241056437003909;0.523225921173793;0.6271221692804372;0.563774394391252;0.5754499038003156
n_estimators:1| max_samples:0.2 | max_features:0.1;0.2724097788125728;0.30342713847868485;0.34141201264488935;0.31917211328976036;0.3212055389628021;0.2780825873520069;0.3671029906372148;0.47950934407060075;0.47531537332447105;0.5305780192192934;0.27662037037037035;0.5784751962244261;0.28325688073394495;0.30413267560866186;0.4005333333333333;0.5342711522034329;0.6286452979584133;0.39377351783675757
n_estimators:1| max_samples:0.2 | max_features:0.2;0.2724097788125728;0.30342713847868485;0.34141201264488935;0.31917211328976036;0.3212055389628021;0.2780825873520069;0.3671029906372148;0.47950934407060075;0.47531537332447105;0.5305780192192934;0.27662037037037035;0.5784751962244261;0.28325688073394495;0.30413267560866186;0.4005333333333333;0.5342711522034329;0.6286452979584133;0.39377351783675757
n_estimators:1| max_samples:0.2 | max_features:0.3;0.2724097788125728;0.30342713847868485;0.34141201264488935;0.31917211328976036;0.3212055389628021;0.2780825873520069;0.3671029906372148;0.47950934407060075;0.47531537332447105;0.5305780192192934;0.27662037037037035;0.5784751962244261;0.28325688073394495;0.30413267560866186;0.4005333333333333;0.5342711522034329;0.6286452979584133;0.39377351783675757
n_estimators:1| max_samples:0.2 | max_features:0.4;0.2724097788125728;0.30342713847868485;0.34141201264488935;0.31917211328976036;0.3212055389628021;0.2780825873520069;0.49013249928581737;0.5068766939927336;0.5216145871199453;0.4850332517735046;0.3656498162851617;0.40960089020177637;0.32140439266020515;0.2345170925132956;0.26991247321134193;0.49012710993345876;0.7417422693585485;0.3924894262280297
n_estimators:1| max_samples:0.2 | max_features:0.5;0.7809973132802024;0.7586237578589266;0.5767762077068646;0.6437951852032118;0.672779057859703;0.6234924181302881;0.5603895937922975;0.4500663505132062;0.35237269497546947;0.3731697545263568;0.3831820635670423;0.28157760083480066;0.2909597511512236;0.2284088510561018;0.2659177869938247;0.3203466079568321;0.4524184005152863;0.4714866703483316
n_estimators:1| max_samples:0.2 | max_features:0.6;0.7809973132802024;0.7586237578589266;0.5767762077068646;0.6437951852032118;0.672779057859703;0.6234924181302881;0.5603895937922975;0.4500663505132062;0.35237269497546947;0.3731697545263568;0.3831820635670423;0.28157760083480066;0.2909597511512236;0.2284088510561018;0.2659177869938247;0.3203466079568321;0.4524184005152863;0.4714866703483316
n_estimators:1| max_samples:0.2 | max_features:0.7;0.7719732837174786;0.6220423565642418;0.49504341665557444;0.7226409049849799;0.55154554902406;0.6003425871625897;0.4826840800897458;0.6323367449122748;0.5616804253206746;0.2909263482492194;0.3220985168431515;0.36683315302645547;0.2857142857142857;0.2256675791319464;0.3944083677824239;0.34137095934432515;0.6611997973441133;0.4899122562275024
n_estimators:1| max_samples:0.2 | max_features:0.8;0.7719732837174786;0.6220423565642418;0.49504341665557444;0.7226409049849799;0.55154554902406;0.6003425871625897;0.4826840800897458;0.6323367449122748;0.5616804253206746;0.2909263482492194;0.3220985168431515;0.36683315302645547;0.2857142857142857;0.2256675791319464;0.3944083677824239;0.34137095934432515;0.6611997973441133;0.4899122562275024
n_estimators:1| max_samples:0.2 | max_features:0.9;0.8329705600861703;0.6835914443126543;0.5988167970032989;0.7418317495796924;0.7451980023523385;0.6054127132156324;0.42915444493806587;0.3864387734534407;0.5713572886442434;0.6109121372356123;0.5804739319749521;0.4493339104506324;0.5143899329166123;0.40875169432350283;0.4280001830399414;0.6633330441715308;0.56030825777498;0.5770749920866647
