Parameters;Iteration 0;Iteration 1;Iteration 2;Iteration 3;Iteration 4;Iteration 5;Iteration 6;Iteration 7;Iteration 8;Iteration 9;Iteration 10;Iteration 11;Iteration 12;Iteration 13;Iteration 14;Iteration 15;Iteration 16;Iteration 17;Iteration 18;Iteration 19;Iteration 20;Iteration 21;Iteration 22;Iteration 23;Iteration 24;Iteration 25;Iteration 26;Iteration 27;Iteration 28;Iteration 29;Iteration 30;Iteration 31;Iteration 32;Iteration 33;Iteration 34;Iteration 35;Iteration 36;Iteration 37;Iteration 38;Average
n_estimators:1| max_samples:0.1 | max_features:0.1;0.3855586412530777;0.3399248860071571;0.3503541398459375;0.37895457353211237;0.40466465441415655;0.3729923012978767;0.3720797120205791;0.4097471211849772;0.40004117823222385;0.35927876464627284;0.3828655628373827;0.39416132641643775;0.38407416320029336;0.359138682389131;0.34393982470755957;0.3756966986364466;0.3484385451956067;0.3308276785065271;0.3835654573944306;0.3441535242178329;0.39559144399248114;0.38537454291623285;0.34819021175638876;0.37843828680083064;0.3940543907338583;0.3745438271289995;0.3667588802653999;0.3872549019607843;0.3537340993571697;0.36042692939244664;0.3568675420236066;0.3801040569020021;0.35470277711535547;0.3684126862472927;0.35323907698678875;0.38280488561122206;0.3697895096962386;0.3527995183624323;0.3489583333333333;0.3700641881158688
n_estimators:1| max_samples:0.1 | max_features:0.2;0.39254283453686045;0.3170975170958282;0.29355804461108054;0.34167640113974207;0.3311265907258188;0.3354488718646199;0.36643228429929586;0.3443299866341315;0.29923841760101544;0.31992157245967245;0.3659999558956491;0.28492051326968554;0.3245315535044033;0.3986818704885448;0.3405206185822569;0.3462632545989861;0.4053503875508977;0.3153478413808958;0.39080611169652263;0.3777073068840587;0.35020299074867606;0.3346986766827823;0.28663522486589793;0.3118255652341725;0.29662086722242775;0.3714460930219874;0.29549782085882914;0.35746564211949317;0.30412352103710577;0.3506077584669848;0.3121544431013636;0.3389310616970555;0.330054677182799;0.31280840371749463;0.3299894315964912;0.2923619786623194;0.3937046650814664;0.3992591840083772;0.36185793493043206;0.3390191762834904
n_estimators:1| max_samples:0.1 | max_features:0.3;0.3570587149588518;0.38105702064912855;0.37246760857570477;0.42556276265740034;0.3835654573944306;0.4077733687931126;0.3701997542861452;0.3632131948665917;0.3894351807701662;0.3484693122223746;0.4773182052704815;0.3975434090109933;0.40934405169748583;0.3789598661847597;0.37015891180962557;0.3969168202462462;0.32861402191593775;0.40007597659444594;0.40463562959926175;0.4180272941835024;0.4167183477475358;0.4132788374682268;0.3986831612732582;0.3757271715061364;0.4093215280541186;0.391454028475848;0.36333198051948057;0.4181473979037381;0.3741333756155736;0.3146683656589298;0.38007570809823193;0.38177329263959203;0.3575592360440076;0.38900163524186004;0.3919140782489786;0.34792774381267433;0.41820237169926266;0.39605635690472596;0.3352253018839292;0.3859896533457116
n_estimators:1| max_samples:0.1 | max_features:0.4;0.31040730245586606;0.32337941661944597;0.33681743472779435;0.3028782194292459;0.3003698792658246;0.34592014581391467;0.33169327711549107;0.316408357249207;0.37147556390977443;0.3160031165119172;0.32700946851890245;0.3202990175501083;0.34440578010613576;0.36352805140340144;0.380504552918346;0.3321098562449298;0.33552129798691843;0.3398796325625594;0.33938113463830966;0.3112309656120781;0.33063552253240497;0.337622884134512;0.32572836660761684;0.302464601822381;0.34925332844871637;0.31361673604936835;0.3393556192448717;0.3223394271440449;0.31205981982567443;0.32226085563540097;0.35215852680848997;0.33105300316903563;0.321240396093745;0.3111789334930441;0.3154364652158431;0.33855078030283664;0.34108210502303515;0.3050646263804774;0.32227595554814403;0.329297446772303
n_estimators:1| max_samples:0.1 | max_features:0.5;0.4203782595151032;0.33389505807982356;0.3319149461689825;0.3508605215922289;0.332886974072349;0.4070973327438845;0.306494181056804;0.33018871901227076;0.3662125737597436;0.35330358953352986;0.35764670263166287;0.34898617067209947;0.3504040426507377;0.35762596347551895;0.3062950908190968;0.32251783353844754;0.3771633814156415;0.31841777614785094;0.3316457175390431;0.34581372498319285;0.3997116956738255;0.33171404052417075;0.30935598820207255;0.3808718944956079;0.34564589704600984;0.3329500335556608;0.33626373626373623;0.34850222331647573;0.326263300886989;0.3641104967057414;0.34382544414735616;0.3498229697815088;0.3277056343469857;0.35182849936948296;0.37645313891325355;0.3519036242565953;0.35444367631779883;0.37485866821386027;0.36414902885800504;0.34923406539187557
n_estimators:1| max_samples:0.1 | max_features:0.6;0.4240331362246733;0.2847219976393617;0.3461879432624113;0.29927352093358106;0.33696829030411;0.33492950252726794;0.32563259777984366;0.3071662459922232;0.3392934821694774;0.2824928799153261;0.32614273655001796;0.303336521070103;0.35447643040076804;0.32896806626262376;0.32055110796166914;0.34205452807254416;0.3799292672542796;0.31653852196524074;0.3434010150994906;0.3408902217929819;0.3378961153791613;0.2929031041553728;0.2927538287010777;0.3207973435004611;0.29795970979265646;0.2945563099748765;0.2960025894157631;0.3373402419395416;0.2803790741615494;0.30601123766399124;0.2865800717557764;0.32823770161217813;0.3039510367776715;0.33531409168081494;0.3447317110365562;0.3596395140067897;0.3509035625252286;0.3330530011414015;0.3175615377509359;0.3244502511833282
n_estimators:1| max_samples:0.1 | max_features:0.7;0.4193772778820696;0.3763203850076894;0.3501611344712203;0.3396062438726795;0.31320110538336665;0.30595733667751873;0.3100181195241655;0.3100983346862194;0.3296291556151833;0.3027089516782112;0.3235987851869365;0.2916688421309107;0.3165192706627361;0.34840674390513615;0.3037072187941124;0.3516204161625863;0.3022283432152887;0.4249350497708497;0.29278717219424916;0.30668031828272085;0.3338452620958042;0.35176198399234415;0.32065217391304346;0.31656210154778897;0.2957652728410346;0.2953314055079468;0.31757204476727385;0.2994805874313496;0.3345312910571954;0.29809080699502644;0.32848566423517256;0.35062077935359715;0.3175078675813888;0.31091353502495517;0.2876380246527868;0.3776182190678797;0.34203004038105433;0.35749882673698796;0.32783637577625446;0.32776852482212143
n_estimators:1| max_samples:0.1 | max_features:0.8;0.34621087833074476;0.33730120522028345;0.30856803655643517;0.3135506585631562;0.3241992674563591;0.33506430969900663;0.31496177218046323;0.2998213337196388;0.3101139879233779;0.30195590572949066;0.3233379042099726;0.3244514580174479;0.29087025256763693;0.3835360037727765;0.33707130393062235;0.3087583683355818;0.3430553574293935;0.3345136793839361;0.3180393683899274;0.32860887586817894;0.3504228970932028;0.298105467467056;0.35462326577206005;0.3254731803487566;0.2958145171943573;0.305080359565547;0.3246760443012515;0.34475967932249;0.3065330526750778;0.30524793768335184;0.3484768445148794;0.30612723688868504;0.2859628311443101;0.3247346086120343;0.3238797595837521;0.2990649205000503;0.3419320873914188;0.35095867571751815;0.2925062008708243;0.3222658844597706
n_estimators:1| max_samples:0.1 | max_features:0.9;0.3878330786098744;0.4267176662155304;0.31076923076923074;0.32084994153403845;0.3077662469988544;0.35302172267534326;0.2919026033039356;0.3113640124593364;0.30121986403799345;0.3281853281853282;0.34363453570948305;0.32516211446477516;0.3987392529435357;0.3674925777882386;0.3101327836807533;0.3071662459922232;0.42888271886971496;0.30277013978232414;0.31149162210487447;0.30172851914630233;0.3450666666666667;0.3121445240836986;0.32165531746618053;0.4141703839100407;0.3193011514712022;0.3103568153868216;0.31858065585534096;0.2945563099748765;0.3262981990813111;0.30689037659102153;0.2970744130836938;0.3149002772312397;0.3099427417810961;0.31842431213183797;0.41813488260881715;0.29965987594797966;0.3180923987869324;0.3400306846909894;0.31081292747872397;0.33161341332051686
n_estimators:1| max_samples:0.1 | max_features:1.0;0.31442455969802174;0.3345197377020609;0.29055391395119445;0.2952890577817366;0.27170324334822293;0.31778573650262265;0.2933081939501528;0.29749502733188965;0.2997051044446152;0.28030567380836063;0.3061531841652324;0.26882444696539987;0.30074829220707194;0.28738415056190747;0.30100635655899777;0.29734549327792353;0.32365439156303866;0.3023455248892188;0.2940724676967561;0.3098376091609056;0.31351536048209233;0.3138026794471721;0.29200157084971673;0.3074333506190978;0.28792334098670286;0.3002405692774167;0.29890797441973593;0.292307648865998;0.293649617750572;0.29898835367149995;0.2999307299880199;0.29610135164231105;0.3073092031425365;0.2827078168594051;0.310458087431809;0.30327149004643206;0.31816136941314077;0.2855174474701151;0.31896218301079693;0.30019621310102307
