Parameters;Iteration 0;Iteration 1;Iteration 2;Iteration 3;Iteration 4;Iteration 5;Iteration 6;Iteration 7;Iteration 8;Iteration 9;Iteration 10;Iteration 11;Iteration 12;Iteration 13;Iteration 14;Iteration 15;Iteration 16;Iteration 17;Iteration 18;Iteration 19;Iteration 20;Iteration 21;Iteration 22;Iteration 23;Iteration 24;Iteration 25;Iteration 26;Iteration 27;Iteration 28;Iteration 29;Iteration 30;Iteration 31;Iteration 32;Iteration 33;Iteration 34;Iteration 35;Iteration 36;Iteration 37;Iteration 38;Average
kernel:rbf | gamma:scale | nu:0.05;0.3190805154175236;0.30577380176732394;0.3049188399891334;0.30450356159283026;0.3028195574163414;0.31055320355818683;0.2953314055079468;0.3059176386171551;0.31514469181511134;0.29681898653739963;0.30894274279737133;0.2969749837873823;0.3080544943947973;0.30627799758964913;0.3151643100340264;0.3302351278067403;0.3174362373898337;0.29445249160574855;0.3005026575646217;0.31060109196528196;0.32474235915928656;0.3081860269360269;0.3101429593365077;0.29986663538904945;0.3006571369078459;0.29835695649107963;0.31115514642057657;0.30668031828272085;0.29810657508015675;0.28979156853902266;0.3001198787109513;0.29817617041405503;0.3078204764605786;0.3038428573927341;0.3046153846153846;0.31046804523329624;0.3059273801733199;0.30534625196101367;0.3138026794471721;0.30634126010526114
kernel:rbf | gamma:scale | nu:0.1;0.33980384923613144;0.32572836660761684;0.3255097071259381;0.33278767906958806;0.3336827948376947;0.33443180196426947;0.3180723720418272;0.3272807502288792;0.340245019260352;0.3228203547702212;0.33544025939996247;0.3177757221563435;0.3301862498689872;0.3333697159187858;0.34117139467155644;0.35297125950097;0.34667563048387373;0.32650862068965514;0.3242524965853139;0.34200482322553727;0.3495613889991619;0.33680460960409153;0.33226495726495725;0.3324565547271434;0.3297079573387257;0.3236170950482252;0.33306129292555503;0.33291542573432276;0.31891280979269965;0.3186133333333333;0.32993605773449153;0.33055943754379485;0.3348861564765019;0.33877472659143393;0.33333333333333337;0.34193959887543446;0.33445362678976154;0.33566194096294777;0.3325508302657984;0.3325828205380825
kernel:rbf | gamma:scale | nu:0.15;0.36291447936739984;0.3457428138739505;0.3484385451956067;0.362095639047727;0.36489993071787047;0.3577645381783048;0.3408383061698373;0.34906521054628736;0.3644536391688065;0.3427489331085135;0.3607820353542734;0.3433333333333333;0.3451838099580918;0.3589591015062731;0.3710003828693321;0.37382845323508496;0.37184185392903873;0.35067369277895594;0.35043506230392957;0.3586606133229819;0.38094667332593773;0.35811894506098374;0.3629069056888744;0.3556933318242221;0.3625;0.3448890715106532;0.35160955833387963;0.3634242560922703;0.33544126699871285;0.3371422992485718;0.3558343946328877;0.3625;0.3607738561634428;0.3582125029712384;0.3673512345281764;0.36817315723620936;0.36118044805002114;0.35812291891741804;0.36102385666647313;0.3571667961850146
kernel:rbf | gamma:scale | nu:0.2;0.38358847647270033;0.3658462758902379;0.37081438610996276;0.3909791886773614;0.3824360059018028;0.3726686254312437;0.36005043263222936;0.3676111221187504;0.37929390727487416;0.35751959071032635;0.3743548421466294;0.3722444977701764;0.36468612170336917;0.3802301095210713;0.39092894017017044;0.39514969549257617;0.392903971265881;0.3727381397393187;0.372867998095889;0.38390374783209325;0.39803921471681636;0.37744264736435984;0.3720621479062758;0.3781119115208928;0.3701134583133213;0.36878815215361593;0.36726897346116827;0.3801363815591358;0.3560062819702734;0.35583760477280846;0.3726949420442571;0.3773241713492381;0.3826141841644957;0.37467638376704115;0.38634883984511936;0.39010419939856605;0.3852259606912822;0.37881409785097575;0.38977720679757866;0.3767231496052278
kernel:rbf | gamma:scale | nu:0.25;0.3974603519219238;0.387113608505164;0.38392414763423616;0.41537742002978495;0.3992636134616627;0.3950793701520748;0.39042207792207795;0.3887829445992861;0.3982057725276532;0.38057512808343374;0.387309146392268;0.3929839131435604;0.3827121049541798;0.3980559242700593;0.4061869632125107;0.4081234807687416;0.41462860605457075;0.395592660057832;0.3928604279810796;0.4019849708375186;0.4152392548588745;0.39904535910252703;0.38775453973323115;0.3957280124238646;0.3920434538157298;0.3928604279810796;0.384481030276033;0.40212861761058666;0.3732511522225267;0.37419203577192806;0.3919102370144605;0.3933155286098131;0.3981023497856365;0.39692575318755685;0.4049140228542222;0.40999365834672336;0.40339197601116955;0.390542484500802;0.40748895112593286;0.39563978148057216
kernel:rbf | gamma:scale | nu:0.3;0.41210665684545256;0.4015869384609827;0.3993558776167472;0.4297221734942577;0.4117293233082707;0.4092146385724368;0.4096713526214774;0.3938083333775809;0.4163883318966887;0.40036164783834394;0.39867742866252165;0.4035658254616866;0.40611817301060926;0.41330104554911473;0.4146325146550931;0.42772801250422354;0.42884633726970184;0.41694532640548276;0.4096018367656863;0.4131931565281899;0.4276822143916914;0.4106212790449688;0.40500050105220964;0.41194852967812456;0.40723234371656647;0.41369266493332024;0.4018517766130816;0.4207125477368311;0.3907220208955856;0.3838126044787103;0.40038713033725826;0.41469915536585805;0.41281314216011306;0.4080085407310191;0.4164129471645236;0.4271605701103971;0.41236285721951793;0.4069597435428571;0.4186509618917676;0.41044324261305004
kernel:rbf | gamma:scale | nu:0.35;0.42037319805667817;0.4175865811948307;0.4141850348822179;0.4393286350593687;0.4248;0.42290111016044873;0.41068366459957556;0.405020823470399;0.42212154010300185;0.4116143956103072;0.41109506512086735;0.41314131413141314;0.4156613044494502;0.426840586703759;0.42496069164143346;0.44181536229909557;0.43740941490739316;0.43555222514033587;0.42407923517082075;0.42667015148719845;0.44518952902115105;0.4279557008894769;0.4199372604140864;0.42343875221896;0.42017725529439387;0.4216993762037258;0.40781422386962235;0.43380122536153776;0.40637568514806366;0.39903038233511023;0.4167026573537661;0.4337824818782383;0.42043209570953133;0.42788136547994593;0.42803678047707416;0.4420343316195702;0.4261884701176242;0.4203960392234972;0.4310394165649313;0.423019317009459
kernel:rbf | gamma:scale | nu:0.4;0.4243606715514233;0.42986945573086566;0.42940681997297003;0.45254457919887103;0.43554247895631804;0.43715236057579915;0.4267505724487999;0.4126496383074067;0.4295704289310358;0.41933902773262416;0.4226447145224179;0.42053013283355556;0.42831209726807595;0.44354435443544354;0.4361270855093865;0.45559573187053787;0.44426475627108614;0.4422347537754937;0.4331555939856848;0.4293717486994798;0.44982174224448723;0.4320963446548812;0.4390662472378019;0.4333733493397359;0.43036607566179613;0.4272362721222485;0.41837617668819715;0.4471773563845175;0.4176519824120478;0.4077471952685128;0.4234131858722226;0.43690728188141326;0.43392382879040203;0.43865356292429303;0.4360418640253306;0.45181440628539193;0.43271631123561194;0.4332049665334752;0.43340521145477673;0.4327169323998568
kernel:rbf | gamma:scale | nu:0.45;0.42617862748388735;0.437161772930739;0.43967613521615;0.45780361671112757;0.44385882010832034;0.4416165325823778;0.43299496403016563;0.4234271937610885;0.4359795919284267;0.4317725161145135;0.4235798549026861;0.42636535913393003;0.43646897068291945;0.44991266058535073;0.44245886246183175;0.4619843173844783;0.4481395797185271;0.44982394366197187;0.4393630520785876;0.4384419954766864;0.45628289608947736;0.44267845274983664;0.4544736302617931;0.4402985074626866;0.43660738488601114;0.4327566131091354;0.42371281022658314;0.4543853297695067;0.43182221717175306;0.41055170427862153;0.4298925178772859;0.4495782297696077;0.44466529338778266;0.440546001306575;0.45433978008566184;0.46397216904869065;0.43888029811315654;0.43805590028432684;0.4423106141568445;0.44032868505100253
kernel:rbf | gamma:scale | nu:0.5;0.42773465985529213;0.4430549358216628;0.44568967153200023;0.4601851901421623;0.4497260395520745;0.44827921446626484;0.43528348768918;0.4287885086012063;0.4401569890413157;0.4359205776173285;0.43121747312877023;0.4357855685980686;0.44679472622270466;0.45310133611550496;0.4438162077300318;0.4688148682071116;0.4533371861588539;0.4472752748349361;0.44642857142857145;0.44103335624326423;0.4541470569941741;0.4458909009187885;0.45760626163708806;0.4419294715827562;0.4385674125351403;0.4372273309654714;0.42831912590034693;0.4591227026873956;0.4416870510114245;0.4279924700049992;0.4338768115942029;0.4594764682897997;0.4548888337437652;0.45284020781308304;0.4615328138492136;0.46291045535937425;0.4403048121113815;0.44065490739406277;0.4502410094727328;0.44542666530388486
