Parameters;Iteration 0;Iteration 1;Iteration 2;Iteration 3;Iteration 4;Iteration 5;Iteration 6;Iteration 7;Iteration 8;Iteration 9;Iteration 10;Iteration 11;Iteration 12;Iteration 13;Iteration 14;Iteration 15;Iteration 16;Iteration 17;Iteration 18;Iteration 19;Iteration 20;Iteration 21;Iteration 22;Iteration 23;Iteration 24;Iteration 25;Iteration 26;Iteration 27;Iteration 28;Iteration 29;Iteration 30;Iteration 31;Iteration 32;Iteration 33;Iteration 34;Iteration 35;Iteration 36;Iteration 37;Iteration 38;Average
kernel:rbf | gamma:scale | nu:0.05;0.6477390470140241;0.6168309644188271;0.613132592222869;0.6033938282476763;0.6007345843543006;0.5951740911418331;0.6186764511701792;0.6174240548691623;0.5999989759973785;0.6155822245220619;0.5811082459501928;0.5995661072753198;0.5970575840325004;0.610357856305738;0.6098246395860155;0.6018128491548498;0.6402383087054646;0.5847319624847336;0.6269074954764535;0.6107969486480774;0.5983835497901995;0.6185141800523308;0.6039746543778801;0.6079989964774309;0.5847138862714573;0.6023908390849325;0.599907562643273;0.6043310586436581;0.6014765533771742;0.586718996923397;0.601534715447779;0.609593753500056;0.6042221215903275;0.615589605542934;0.6187823724969043;0.632442204539587;0.6319319221283168;0.6139925268953207;0.5893560445748605;0.60812677835732
kernel:rbf | gamma:scale | nu:0.1;0.6685242245730592;0.6322789634084944;0.6447697311305141;0.6318457658898011;0.6356018806631036;0.6373481350034156;0.6465884000215413;0.6465176896460906;0.6357265283782287;0.643571205954121;0.6133865159483677;0.6305614951272668;0.630039866007166;0.6297343512272624;0.6378434958294313;0.6361833981479214;0.6598528387321491;0.6140930802681585;0.6559833821150767;0.6367440643980122;0.6278243639005033;0.6401881111060432;0.6296879380655283;0.6341571744308072;0.6163011624511114;0.6242302736132974;0.6231436118396823;0.6309489940254609;0.6293951135284968;0.6280831187288676;0.6228831158879784;0.6456596321456294;0.6336647505008453;0.6475648416466284;0.6506396747399152;0.6473102034243967;0.6644397008967038;0.6371282652033623;0.6258562689442776;0.6365718289115054
kernel:rbf | gamma:scale | nu:0.15;0.6799092771436933;0.6490134390029281;0.6653869069470226;0.6546256917169557;0.6704412880223303;0.6613007099922508;0.6743965334111222;0.6579893763409718;0.6483029705621068;0.6570282262928575;0.6307130869619312;0.6444652830663061;0.6452784877570403;0.6533333333333333;0.6553063709542039;0.6576942966777675;0.6758822276654706;0.6364985535149337;0.6695059367361099;0.6640910400909779;0.6532448272786994;0.6648418714968627;0.6571968515399172;0.6545929237576589;0.6363027231448847;0.645402473050588;0.6406156527837943;0.6439827281684087;0.6468653250773995;0.6388085120121392;0.638903663051718;0.6524916228989935;0.6523590223077425;0.6627075398881659;0.6580704113049197;0.6600437186209007;0.6742726755056765;0.6501279520504606;0.6444741305864214;0.6545248118132222
kernel:rbf | gamma:scale | nu:0.2;0.6803789083200849;0.6631945639768132;0.6761980343160874;0.6659962548959212;0.68949119929342;0.6741882633303545;0.6834163996210183;0.6714373465496103;0.6611984758536482;0.6715221098097887;0.6478745643113861;0.6644088750592605;0.6582124168425127;0.6690007217498442;0.6812425459795368;0.6685390726468937;0.6893096492940335;0.6572101388568915;0.6817213291968502;0.6739085323314749;0.6671208490051962;0.6750723439437785;0.6625455399509177;0.6724370551084637;0.6476027551803216;0.6595538082607049;0.6591266293543001;0.6663346873564179;0.6557291884215363;0.6498999375620845;0.654638269349453;0.6677667734248243;0.6724903831267046;0.6827585935532612;0.6681442892161222;0.6781151211801897;0.6976521892524994;0.6640124056957897;0.6594446139761978;0.6689460214142101
kernel:rbf | gamma:scale | nu:0.25;0.678009843914957;0.673202614379085;0.6778966093530079;0.6782258607708308;0.6940644842043909;0.668103701631815;0.6885826327066236;0.6849545664627139;0.6814444622489502;0.6807606839456939;0.6558535259081661;0.6741882633303545;0.6702095582692598;0.6796951696367659;0.6853948850354881;0.6728252117395308;0.6963934503921708;0.6631959333719124;0.6806729439123425;0.6802667689813007;0.6749526717720544;0.6812555104800655;0.6686088248551729;0.6804942715931016;0.6565347899033718;0.6717232973214626;0.6647483189285754;0.6778627799919702;0.6726310954594432;0.6593676232710723;0.6666655072423441;0.6791666666666667;0.6833997365090163;0.6911771429521469;0.6693715343725375;0.6815566481849566;0.7008613362902711;0.6731876485747235;0.6750897817346457;0.6767332399051015
kernel:rbf | gamma:scale | nu:0.3;0.6725020840776468;0.6729823441487278;0.676034920782193;0.6770337291619206;0.694528751496216;0.6720193115029387;0.6962232168725918;0.6865774517836474;0.6783202956677667;0.6878394372466738;0.6589617279272452;0.6807578057042111;0.6766563100880357;0.6840160870075029;0.692086373467206;0.6703496663295403;0.698379673793632;0.6651785145943975;0.6802951635252675;0.6824635004435227;0.6774242483899763;0.6848434404518833;0.6770606458888929;0.6887320667030978;0.66723259762309;0.6718933333333333;0.6704936955592742;0.6769290308601126;0.6857197288195769;0.6682994457216045;0.6739640015609079;0.6840639823376395;0.6849730093004098;0.6869025622131811;0.6768150171236742;0.6822184774768199;0.7066386486792635;0.6820505585396641;0.6788552208532033;0.6802132327450382
kernel:rbf | gamma:scale | nu:0.35;0.6712864436087971;0.6745662117531515;0.6676493066928704;0.6753190494302515;0.6970272868242675;0.6735085163097497;0.6975613318793201;0.6839603110966861;0.6780717235089971;0.6957349340109925;0.6662665364275105;0.6858147306393649;0.6802005781973546;0.6919897910666974;0.6945926942407817;0.6662831957206584;0.6932443844871458;0.6618563026616703;0.6861807202647974;0.682658634452604;0.6792176875715892;0.6908613294273795;0.6767681823110867;0.6901231600459967;0.6662012342633683;0.6739905450247101;0.6682101616688274;0.6711665656740236;0.6803939196489694;0.6779104974581698;0.6711562044279464;0.6798308944187841;0.6857445243901152;0.6901445600777762;0.6781901273601709;0.6797309218274024;0.7118565342310987;0.6876840587714581;0.6828027359327136;0.681173244302699
kernel:rbf | gamma:scale | nu:0.4;0.6710358405789345;0.6694250205228193;0.6639359817813766;0.6764835164835165;0.6996559824288149;0.677528732598117;0.6983925615497473;0.684387460837859;0.6736015251364853;0.6978448640301889;0.6689280868385346;0.6921571330513026;0.6745356708904704;0.6918035442503208;0.6909133528290183;0.6644038149329723;0.686508003040261;0.6558085014061417;0.6823143858218936;0.6767865122609227;0.6754108924089961;0.6855325393165888;0.6713306580805247;0.682616748485012;0.6641139325540777;0.6730380118981738;0.672531008725844;0.6722363394501671;0.6743808483839786;0.6835834614908698;0.6720934754556221;0.6822079166200121;0.6830727417843832;0.6869874586605271;0.6757270146732186;0.685206632500619;0.7050338759292761;0.6834199068416258;0.681474635798631;0.6796525279571242
kernel:rbf | gamma:scale | nu:0.45;0.674657583903906;0.6572959262785484;0.6678858618136178;0.6735444773104393;0.6984192466214365;0.6748285629099583;0.6929648912027766;0.6734357476967447;0.6708742402992052;0.6950427350427351;0.6686501802859033;0.6831924767791137;0.6691571118503314;0.6891750202971907;0.6848031051711561;0.6607872223392552;0.6819495720743483;0.6542947971963813;0.6816515668418204;0.6740058002208508;0.6642271442070308;0.6811844036910595;0.6733706021879888;0.6788634571714589;0.6610896263218425;0.6729752463017606;0.6667659436088481;0.6655748202327598;0.6744005837357234;0.6832346539091407;0.6736565925293558;0.6790043141820175;0.6773209424575237;0.6857765807361806;0.6717590642042928;0.6772449851368115;0.6970841483861954;0.67675680612616;0.6722507122507122;0.6758758141926303
kernel:rbf | gamma:scale | nu:0.5;0.6694695647575228;0.6540740579961799;0.661299507678742;0.6674906183853717;0.6970103539067318;0.6686087614417185;0.6805051421657592;0.661021218595756;0.6631822923060413;0.6906678592725104;0.665041461916462;0.6704211155073931;0.6565357577240392;0.675026282962027;0.6776757063237389;0.6592709880166496;0.6711302547435194;0.6465937631932779;0.6735780705650459;0.671669908514141;0.6630862512464861;0.6788799022406276;0.6621479186053165;0.6760839202350233;0.6597096188747731;0.6635293746923596;0.6665709663505892;0.6625350442571913;0.6697570602538874;0.6839360472312324;0.6666666666666667;0.673612651582372;0.6675177707973301;0.6787246691989729;0.6658753386551652;0.6690854651980526;0.688909278449434;0.6681672827396861;0.6658324820575945;0.669510266546292
