Parameters;Iteration 0;Iteration 1;Iteration 2;Iteration 3;Iteration 4;Iteration 5;Iteration 6;Iteration 7;Iteration 8;Iteration 9;Iteration 10;Iteration 11;Iteration 12;Iteration 13;Iteration 14;Iteration 15;Average
n_estimators:1| max_samples:0.1 | max_features:0.1;0.3634417718187352;0.23245060949978985;0.37318215046739145;0.4237160539576847;0.37892056394012796;0.39687531193895825;0.42918759746576274;0.40681696069428613;0.4552845528455285;0.39330166824525004;0.38138175230566534;0.47007203207932297;0.373249616976708;0.3630902659979069;0.44177639504886074;0.48368512608777303;0.3979020268356095
n_estimators:1| max_samples:0.1 | max_features:0.2;0.4157104508170142;0.243940834933701;0.4146841432679253;0.3904576302706668;0.362254194545269;0.3673972587657479;0.4181374700092893;0.2691143464982706;0.38858934169278997;0.31330174550689943;0.3691397939629978;0.40455457696837005;0.29362631244391507;0.2728549471970525;0.36704174117244615;0.48591076711838255;0.3610447221981711
n_estimators:1| max_samples:0.1 | max_features:0.3;0.27922915014809513;0.07072134585471314;0.3086262229203022;0.42475410195501684;0.31415705960999973;0.4628741890286845;0.35627323096310615;0.48336433147344493;0.38106759093906417;0.3168118929385677;0.25879511280692735;0.284366909125878;0.306523853730162;0.2051286202263198;0.3704386721786549;0.5012503924646782;0.3327739172727259
n_estimators:1| max_samples:0.1 | max_features:0.4;0.1567675702499845;0.05798779152177812;0.48019620762866977;0.5101149596894595;0.17300082007396772;0.3887825047263155;0.16315470188139536;0.35588130202781115;0.39167077672293155;0.2518703241895262;0.41511129389425255;0.2812077183955243;0.30153457339782286;0.2523606876693767;0.4180479308207691;0.4653529732137657;0.3164401335064594
n_estimators:1| max_samples:0.1 | max_features:0.5;0.372128520315507;0.3844399196829111;0.36970183433587356;0.4842977558060959;0.2540747829990323;0.5044470490899062;0.23930443909952107;0.2690504563069881;0.26180971301957945;0.35928566316050337;0.36605708252553637;0.4394070281637684;0.2501461294735946;0.3938736220913301;0.4164434331228295;0.4853134510042605;0.36561130501232736
n_estimators:1| max_samples:0.1 | max_features:0.6;0.1567675702499845;0.28979845190266545;0.3945857127609672;0.5103927533885417;0.38658883764930363;0.4593493297639007;0.1992665670774721;0.479069152743973;0.40370185174693807;0.29777116114468755;0.30819101834282103;0.3709920668979977;0.2968337312441366;0.18913542781086184;0.425294225969633;0.5054085371465582;0.35457164974002764
n_estimators:1| max_samples:0.1 | max_features:0.7;0.49052374159364176;0.491869918699187;0.2686564704331202;0.4869816779170685;0.23574418289912039;0.48304383788254757;0.17060902235799957;0.2821542791482208;0.397700155212316;0.3047248317855738;0.20920079386457213;0.2939592190844943;0.45689954814042405;0.44157884146738907;0.40616041563804406;0.46883678082992586;0.3680402323096028
n_estimators:1| max_samples:0.1 | max_features:0.8;0.20656159553789355;0.25070327523731734;0.38377192982456143;0.463800955735535;0.2747323817083055;0.35018382352941174;0.43030772805234174;0.31817885528791623;0.3634743389226348;0.3960408552778856;0.27059790425313335;0.2354621679583162;0.2719376512860727;0.197441357592237;0.36632659527279643;0.4556832578307837;0.3272002920816964
n_estimators:1| max_samples:0.1 | max_features:0.9;0.48278794432640587;0.3780731436752577;0.3665044716203089;0.4003920504886721;0.41542242245969396;0.39976688524290543;0.3090077281134418;0.1705646911317934;0.3123267592412704;0.33193464494722014;0.34248141795311604;0.23406268663662383;0.19259626127617313;0.16773187903461706;0.24989906641837725;0.47746791404649536;0.32693874791327326
n_estimators:1| max_samples:0.1 | max_features:1.0;0.44250818017265386;0.30398330218875974;0.2709020990690217;0.2433023890885544;0.260153091015618;0.3484701014259197;0.2589627146068165;0.24570644275158404;0.229373190135517;0.3340606275565531;0.21391819127315181;0.3153693296035584;0.36725633906518806;0.23271167103756435;0.31483276832271223;0.4486984413617221;0.30188805491718096
n_estimators:1| max_samples:0.2 | max_features:0.1;0.19644467767592122;0.2739874290857703;0.39478299576920217;0.46216489603982125;0.42573847052490943;0.42185411895684066;0.4594632295502734;0.4685172453979303;0.43451813141029894;0.3843697900385537;0.4016801691134684;0.46855973002646;0.41360865663559754;0.36578012777733704;0.4658248022252862;0.5013971998086725;0.40866822937727143
n_estimators:1| max_samples:0.2 | max_features:0.2;0.1445905485757332;0.2563762411822871;0.3882538172633789;0.40659943746998695;0.401807435640015;0.342223323194609;0.4095434570633135;0.35604229315356173;0.2905607849403309;0.31149363026224364;0.3800317329729095;0.33842449763564947;0.2961258929575531;0.20123928934501623;0.39683034565339065;0.5059326513305158;0.3391297111650309
n_estimators:1| max_samples:0.2 | max_features:0.3;0.14344044598469377;0.1997867419280036;0.367169753015395;0.4215127207995903;0.2930503202409168;0.44529018303219814;0.43816405115241264;0.42700662739322537;0.33818142271676166;0.3042940348767812;0.33383414404805445;0.32151021806413116;0.23018983093990897;0.2359341986041266;0.35903914830537026;0.49764987998301946;0.33475335756778685
n_estimators:1| max_samples:0.2 | max_features:0.4;0.17386065880591428;0.13158643577467724;0.47066370870386876;0.3814826609686024;0.2888616682828901;0.36075828932971793;0.33495170726243506;0.48336433147344493;0.2759475293823004;0.22688205541709427;0.4371308240404736;0.363834405772896;0.3073557932408514;0.24139501696905552;0.435748626431039;0.4825014380280628;0.3372703218677077
n_estimators:1| max_samples:0.2 | max_features:0.5;0.4036052630130699;0.3539740229979196;0.44672083709516863;0.35390924523100903;0.38513142552693785;0.48642990535165276;0.3041144375321069;0.18442665314661338;0.20891005818527375;0.34779367918902804;0.420836425848267;0.39671814671814676;0.27197017989856864;0.3084318200004967;0.3903944635163483;0.5138868430942386;0.36107833789655286
n_estimators:1| max_samples:0.2 | max_features:0.6;0.40776418752439675;0.29981909132238244;0.3810091924374586;0.45617067021466345;0.376600017889308;0.32379214561803293;0.3631209713008347;0.2623459706157157;0.3300144931264847;0.3669101268920058;0.3528764641169999;0.30115068919262944;0.3328737845984827;0.29259494495472604;0.4153606789101021;0.4897744434600075;0.35951111701088945
