Parameters;Iteration 0;Iteration 1;Iteration 2;Iteration 3;Iteration 4;Iteration 5;Iteration 6;Iteration 7;Iteration 8;Iteration 9;Iteration 10;Iteration 11;Iteration 12;Iteration 13;Iteration 14;Iteration 15;Average
k:1 | numlayers:1 | r:0.3 | lr:0.001 | epoch:2000 | alpha:0.1 | mt:300 | eps:0.1;0.5073433723740473;0.50332116569924;0.49234893268490126;0.49538461538461537;0.4879269855333419;0.4875074823907571;0.48834950633296154;0.4820799668531179;0.48863295359481845;0.4969428592847251;0.49388336427681273;0.45543938262384864;0.4620824105376623;0.4910284926060321;0.4837864496266493;0.4226817529517208;0.4836712307972032
k:2 | numlayers:1 | r:0.3 | lr:0.001 | epoch:2000 | alpha:0.1 | mt:300 | eps:0.1;0.4902120717781403;0.49124949124949124;0.485044958510099;0.4971296337501669;0.4887752286345001;0.48218724109362054;0.4887752286345001;0.4870908252650991;0.4836844279223461;0.4917114146297988;0.49628223793677206;0.4542582013597727;0.45799457994579945;0.4925166158042871;0.47415865384615385;0.4194423951318798;0.48003207534327674
k:1 | numlayers:2 | r:0.3 | lr:0.001 | epoch:2000 | alpha:0.1 | mt:300 | eps:0.1;0.5068096796820202;0.5173525938039429;0.49006067485317445;0.48686371100164205;0.4831507132520157;0.5021337126600285;0.4933645397348627;0.48132780082987553;0.48293691830403307;0.5010938978240302;0.5178447161745701;0.4520354560922512;0.45908621285811596;0.4878666454226164;0.4781490917731545;0.4317285618372805;0.48573780788147586
k:3 | numlayers:1 | r:0.3 | lr:0.001 | epoch:2000 | alpha:0.1 | mt:300 | eps:0.1;0.49031600407747195;0.4917666192315511;0.4855849470724068;0.5050263498146647;0.4896370809282481;0.48218724109362054;0.49081046893675867;0.482829954489036;0.4834710743801653;0.4977015632606113;0.5014826176420182;0.4500659920809503;0.45569344654909644;0.4812201701597842;0.47457197824997444;0.414029449820075;0.47977468486165203
k:2 | numlayers:2 | r:0.3 | lr:0.001 | epoch:2000 | alpha:0.1 | mt:300 | eps:0.1;0.48948335715744334;0.5002050704968477;0.49590503279834913;0.49749289699419263;0.4893481813230043;0.49268491778056245;0.48442977933594555;0.48218724109362054;0.4832575444398512;0.49022006807522783;0.5184402161146348;0.45148138184718173;0.4549814693699586;0.48585637631574025;0.47159264596707284;0.42967048299110433;0.48232729138129604
k:3 | numlayers:2 | r:0.3 | lr:0.001 | epoch:2000 | alpha:0.1 | mt:300 | eps:0.1;0.4897959183673469;0.50332116569924;0.4910284926060321;0.4973106117729855;0.48379103861243034;0.4877868245743894;0.48464234178519894;0.4827229464100973;0.4832575444398512;0.49007365025418365;0.5245340433624952;0.45399690988535607;0.4547437295528899;0.4864022901406079;0.46540015921191896;0.4239298627626025;0.4814210955898516
k:4 | numlayers:1 | r:0.3 | lr:0.001 | epoch:2000 | alpha:0.1 | mt:300 | eps:0.1;0.5004121599680263;0.491353001017294;0.49168417532284997;0.4874948749487495;0.483577773187358;0.48218724109362054;0.4845360824742268;0.4798168955472326;0.4832575444398512;0.5035187696208725;0.4862654176215429;0.4498239436619718;0.45569344654909644;0.48165042504665145;0.46533923303834807;0.4116038651784637;0.4773884280447597
k:4 | numlayers:2 | r:0.3 | lr:0.001 | epoch:2000 | alpha:0.1 | mt:300 | eps:0.1;0.48990002040399916;0.49124949124949124;0.49135523860113345;0.48833401555464595;0.483577773187358;0.4827229464100973;0.4849608570251339;0.4827229464100973;0.4834710743801653;0.5095612814546607;0.5215796852970697;0.4537355680269405;0.4588659882294581;0.48667685372048675;0.4757788008870564;0.4132190466104154;0.4811069742155131
k:5 | numlayers:2 | r:0.3 | lr:0.001 | epoch:2000 | alpha:0.1 | mt:300 | eps:0.1;0.49041989400733793;0.5035646479910109;0.4907038634288726;0.49694992798441073;0.4836844279223461;0.482829954489036;0.48485472903358745;0.4890609188927826;0.4831507132520157;0.5030654043878351;0.5142297616928203;0.45148138184718173;0.45861712274479777;0.48667685372048675;0.4801867676699767;0.4102997286323478;0.48186100610605287
k:5 | numlayers:1 | r:0.3 | lr:0.001 | epoch:2000 | alpha:0.1 | mt:300 | eps:0.1;0.49031600407747195;0.5040617343953024;0.4862654176215429;0.49694992798441073;0.5015228477002757;0.4826158940397351;0.48442977933594555;0.48046550290939316;0.483577773187358;0.49081046893675867;0.5029326970871856;0.4500659920809503;0.455930359085963;0.48165042504665145;0.4686117341716216;0.4084326217392698;0.47928994871248976
