Parameters;Iteration 0;Iteration 1;Iteration 2;Iteration 3;Iteration 4;Iteration 5;Iteration 6;Iteration 7;Iteration 8;Iteration 9;Iteration 10;Iteration 11;Iteration 12;Iteration 13;Iteration 14;Iteration 15;Average
kernel:rbf | gamma:scale | nu:0.05;0.2669309675392039;0.173197280752212;0.18374964934014437;0.1506825416608957;0.1431627269777559;0.1538673587575169;0.15060267526085197;0.12356844846414472;0.14004654317927195;0.13390112704918034;0.14831649088742774;0.23408235798950214;0.20905852418943205;0.11428889639916431;0.20808305416423212;0.36748731329793083;0.18131412224430418
kernel:rbf | gamma:scale | nu:0.1;0.2661426253958356;0.1804485449281052;0.1953067331500642;0.16712217835813342;0.16574239282442013;0.17850780381432685;0.17968419653751827;0.15942133554601537;0.17136840751635563;0.1791992752800585;0.1928132731823136;0.280256786425098;0.24669636285770702;0.14775079064227967;0.24598540227738808;0.39627738860411355;0.20954521858373332
kernel:rbf | gamma:scale | nu:0.15;0.27267610713753526;0.2037239384186678;0.2236202264151936;0.19971507563143054;0.19717405266538215;0.20938277827825488;0.22014499924703657;0.1893794927764885;0.20740831193943904;0.21859685620501015;0.23657483575405658;0.31834721280815986;0.28076271473913206;0.18906627924291391;0.29667083359055085;0.42333063092073686;0.2429108966106243
kernel:rbf | gamma:scale | nu:0.2;0.28501697360931855;0.22879177377892032;0.25502115739912984;0.2213260903799381;0.23070607553366174;0.24281377445007146;0.2506003906001816;0.22438987509418123;0.24629447357379783;0.2614569628698744;0.2722194582121568;0.3481551225540574;0.31710870328698343;0.21919433204959457;0.33273576385042936;0.44578179867147677;0.2738507953696108
kernel:rbf | gamma:scale | nu:0.25;0.30077452667814114;0.2555580269939562;0.27726530526415843;0.2513350485080625;0.2595467575156213;0.2708442110850304;0.27791920114909524;0.25431665048469004;0.28017338586366797;0.2867777510319434;0.30364605669214534;0.3718482191148731;0.35279705076339163;0.25407212189138895;0.36337329474989666;0.46130956175476;0.3013473230963014
kernel:rbf | gamma:scale | nu:0.3;0.3182722039987691;0.27945960705237066;0.30271166126048654;0.2787712771183742;0.2879213032796895;0.29683737030909146;0.30672564039314965;0.28553621267306745;0.3084255389201436;0.3137708861295597;0.33254628654354795;0.4041383149179586;0.3729046514458675;0.28412430843706776;0.3886972402597403;0.47715715497430594;0.3273749786070744
kernel:rbf | gamma:scale | nu:0.35;0.3383192336736345;0.3074259330511735;0.3261265682438849;0.30746972008413653;0.3134065934065934;0.3254419513727147;0.33103063228815005;0.310325051533445;0.33816858516515264;0.3407967591305399;0.35940449237512734;0.43105918600392135;0.4067838367388398;0.30385038412803017;0.4105902777777778;0.49283872325417233;0.35268987051420586
kernel:rbf | gamma:scale | nu:0.4;0.3553079973694175;0.3299519615309089;0.3506648409582107;0.32858251467352395;0.3414451207618726;0.3458955124095547;0.3520541851485943;0.33255123624664495;0.3593328726162255;0.36179314278354785;0.38333572350494766;0.45500468462216287;0.4251407305516872;0.33307906414654476;0.425879887102519;0.4995990439308175;0.37372615739732373
kernel:rbf | gamma:scale | nu:0.45;0.3729532222059558;0.34751172715409306;0.3760787799160162;0.3539975108160967;0.3649557647968174;0.3681718363087093;0.3794459334419128;0.3556985294117647;0.380861443350114;0.3789999781118828;0.4049007034316583;0.4725983238932765;0.45104465091684875;0.35530259680226384;0.4457398771189577;0.5093249138913929;0.394849111972985
kernel:rbf | gamma:scale | nu:0.5;0.3899507529892413;0.3685333333333333;0.3956214805095402;0.3731730573835837;0.3895001287599728;0.3957696178560979;0.4022075077649429;0.3787619548624124;0.4032404939752133;0.39840000000000003;0.4227347432188311;0.48425123650071594;0.4730776840370776;0.3742699412075476;0.4594759289543364;0.5146142882522046;0.41397388435031574
kernel:rbf | gamma:scale | nu:0.55;0.4034227897431509;0.3863929429693453;0.4109701019621609;0.3912994470348096;0.4039362348014384;0.40852610148142754;0.42739257804679204;0.3985014615653093;0.4215835451184021;0.41726567451584634;0.43544057704131856;0.4928456660204291;0.49182657931692597;0.3956280346643175;0.474020092226614;0.5119561100320589;0.42943799603377164
