Parameters;Iteration 0;Iteration 1;Iteration 2;Iteration 3;Iteration 4;Iteration 5;Iteration 6;Iteration 7;Iteration 8;Iteration 9;Iteration 10;Iteration 11;Iteration 12;Iteration 13;Iteration 14;Iteration 15;Average
n_neighbors:1;0.22008884920681748;0.21264332377896727;0.235375097444063;0.21743266457498264;0.25120533650353344;0.2366407214559705;0.23645320197044334;0.24786086042088573;0.25528745904081024;0.2365617203915309;0.2489328362241314;0.3290960451977401;0.31866144106119987;0.24486128101732288;0.2879919541886072;0.38732591261318905;0.26040116906813715
n_neighbors:2;0.15427057431608143;0.15170549286882193;0.16718863714275703;0.16497562116446007;0.1845166902250734;0.17004641318781802;0.17060902235799957;0.19237401074888502;0.1959024254881709;0.16654610920898233;0.19536191373242517;0.265190063095146;0.2570705519729758;0.17418730315186653;0.22957090180947182;0.3353376652986776;0.19842833723560077
n_neighbors:5;0.10780088904216036;0.11841892089975596;0.11075381183262514;0.09073584232103417;0.11519943372763758;0.09398458612751476;0.12729154992540564;0.1411690729940655;0.1424074472664658;0.09899183107265103;0.1047633311060421;0.20766089830838033;0.2039460462868166;0.13703085804817744;0.1509782207456626;0.30418409545760655;0.14095730219762512
n_neighbors:10;0.09544366166967332;0.1032358713348324;0.0811081108110811;0.05752900600619068;0.08409079731918542;0.07245506060816137;0.11874909894795524;0.11596378987683337;0.09723889555822329;0.06672080327436676;0.07653673174220652;0.18002551976408282;0.18117838751317683;0.1130261531260127;0.1291354232777286;0.3004602934459923;0.11705610026723143
n_neighbors:50;0.0545202892823813;0.045743343129568126;0.05072547974627242;0.0511428021671594;0.062489565380436596;0.06605609381133273;0.0740887647182225;0.08012064969214705;0.06230123554752219;0.0640224673105636;0.05877357716068387;0.1575273018061328;0.14134170929369783;0.07113671180950279;0.1298422260765357;0.3017896674235798;0.09197636777223367
n_neighbors:100;0.050723691119255995;0.04287595608369169;0.05637706467581986;0.05545681695914272;0.06310371630443487;0.06926902098659891;0.0662844245978769;0.07181236137353159;0.0667917253982317;0.06802794713614008;0.06354809884636499;0.16441649104320338;0.14547040380943402;0.07621966292531616;0.13338190090519605;0.3080299711815562;0.09386182833411219
