Parameters;Iteration 0;Iteration 1;Iteration 2;Iteration 3;Iteration 4;Iteration 5;Iteration 6;Iteration 7;Iteration 8;Iteration 9;Iteration 10;Iteration 11;Iteration 12;Iteration 13;Iteration 14;Iteration 15;Average
kernel:rbf | gamma:scale | nu:0.05;0.44181301552879215;0.5044640794219437;0.48965887724952994;0.2940574044051172;0.11714900652661697;0.2951349971372551;0.17015699519439242;0.17190484065616957;0.26229104622599075;0.2952941249893384;0.35439352692075016;0.35092619305117234;0.3337733213804509;0.1350915058784974;0.25874409797001546;0.4133750980633867;0.3055142581624637
kernel:rbf | gamma:scale | nu:0.1;0.43951727137603513;0.5028776882372078;0.4867871006270529;0.3005563554275761;0.13713838090163313;0.3130151416120313;0.2056645609880851;0.195196343825044;0.2795812527084124;0.3126278561000395;0.3780126433604403;0.371534849374579;0.3651558838014416;0.18296925522144505;0.2984110481118351;0.44144413069138816;0.3256556101477654
kernel:rbf | gamma:scale | nu:0.15;0.43798856842335104;0.5057625003475107;0.47916666666666663;0.3202200766916181;0.16768528049408132;0.33816670574125685;0.25108373562411784;0.21917958869460025;0.31176326597974746;0.3487642330776574;0.40889454851646584;0.4029700983343368;0.3921102405758526;0.21654272272461042;0.3374401430443462;0.4660077335217743;0.3502341317786246
kernel:rbf | gamma:scale | nu:0.2;0.4515835929387331;0.5039951584218053;0.48132780082987553;0.3524930240286174;0.1947982591125438;0.3879120251624869;0.2936141869895755;0.24586264072830197;0.33523794563323905;0.3721293197754957;0.44313911462711875;0.4189475780728976;0.41056928526350456;0.25011200910782044;0.36965048811358825;0.48009025770764885;0.37446641790707824
kernel:rbf | gamma:scale | nu:0.25;0.46519713888001735;0.49936445635195836;0.48250879735044505;0.37288046395173563;0.24272904267077328;0.4038015547044738;0.330019197218859;0.28158482977146215;0.3620797978831434;0.3961743330961161;0.47352717894986424;0.4408037363201765;0.42409274278221554;0.27557229788467114;0.3881521613375148;0.4935504994519453;0.3957523892878357
kernel:rbf | gamma:scale | nu:0.3;0.4761220950488074;0.5054271708683473;0.4834710743801653;0.3914105305919456;0.28065335042079226;0.4420127221099359;0.37427587956749947;0.30404134037425123;0.3846968978737827;0.41577322154087476;0.4963590061899228;0.45812877882102854;0.43880524237667096;0.3084318200004967;0.41894542468277096;0.49882358788547515;0.41733613392079794
kernel:rbf | gamma:scale | nu:0.35;0.47176605995225557;0.49600608596424495;0.4842170414689499;0.4071509729726197;0.31820651382655885;0.46392512053462787;0.40412008399069294;0.3308635847986387;0.3999498642995073;0.4254995950965197;0.5090275578080456;0.47495942445507855;0.46078777320416553;0.3374162432474986;0.4441502258034962;0.5066069594121039;0.43341581917718774
kernel:rbf | gamma:scale | nu:0.4;0.47758611998929235;0.4987666622112592;0.4845360824742268;0.4218997959646339;0.3525190102667434;0.47342533320185104;0.434198057499593;0.3563142071967391;0.4268818946444214;0.43853885087880823;0.508466971501167;0.4907623718850193;0.4776513546656098;0.3583709594987431;0.46587942927265324;0.5038819433611402;0.4481049402819938
kernel:rbf | gamma:scale | nu:0.45;0.47809319926971;0.5021337126600285;0.485384932070811;0.44179655034438997;0.3858044752130034;0.48789332093597765;0.4554028886293515;0.38281192048067647;0.4422574713354143;0.44911858974358976;0.5098480108241089;0.5002777998884036;0.49601887999294203;0.37461927052812244;0.4794635148985311;0.4994645611855728;0.46064931862503955
kernel:rbf | gamma:scale | nu:0.5;0.4856096945215854;0.5017392121838864;0.48601973684210525;0.4465417958069143;0.4091111935523762;0.48984076753064093;0.46547631514643767;0.40325025592566344;0.45214408686783025;0.4577147264286668;0.504615615882365;0.507308244062886;0.5054078948954549;0.39086823177778074;0.49145511642686396;0.4947221270975267;0.4682390634343115
