Parameters;Iteration 0;Iteration 1;Iteration 2;Iteration 3;Iteration 4;Iteration 5;Iteration 6;Iteration 7;Iteration 8;Iteration 9;Iteration 10;Iteration 11;Iteration 12;Iteration 13;Iteration 14;Iteration 15;Iteration 16;Average
n_neighbors:1;0.42841498740059814;0.4342991037184287;0.474491760929707;0.45359566146510005;0.47326314639884565;0.4218993410803756;0.40049078992327525;0.3478791633293925;0.3852413207251917;0.39971565571694856;0.3759062361529196;0.3955065376686032;0.38185530426514536;0.3405904032735231;0.4134897360703812;0.4151750937241346;0.39063248125231576;0.4077909837114639
n_neighbors:2;0.38966175668303327;0.4066500670805194;0.44498226908297356;0.42543776447552006;0.45351368838913325;0.3667810059664824;0.35204865803335167;0.2923278684772344;0.3180320129690827;0.33053755991381745;0.30307993705238145;0.3261416880294089;0.3148382270077797;0.26635999728041965;0.34186374526624935;0.3522639419962807;0.3272882307243403;0.35363578931929457
n_neighbors:5;0.2841985094757387;0.33234872407415816;0.37984428197651193;0.369423077855166;0.3797583088720792;0.30858013937282225;0.31637637543623887;0.26926462187342476;0.301154056306259;0.3089928976823081;0.2813962470919004;0.2936631740807775;0.2962449094726883;0.2468480524579851;0.3254243451063238;0.3374296119230584;0.3049006483642154;0.31387341067186214
n_neighbors:10;0.27185263522517994;0.3036430875757337;0.3500091552595174;0.3295700537795715;0.3596494864479001;0.28372054801688706;0.31064343302668584;0.27523390178624174;0.29568113380994615;0.3111305279723487;0.27964168993341204;0.2903450296681562;0.2966483386515151;0.2466125006728255;0.3237401185770751;0.33849913635901796;0.30500406518737483;0.3042132259970229
n_neighbors:50;0.2719860221316249;0.30344713542265767;0.3423318518032572;0.33028919330289197;0.3200115029252316;0.29116809116809117;0.31575890046357097;0.2794531419089532;0.29011645493042953;0.29963958375502475;0.27682962105872144;0.28714000570287995;0.2945527870822026;0.234760654242698;0.322147436919838;0.3357255648230626;0.30282221062049075;0.29989295048597797
n_neighbors:100;0.2715617715617716;0.30443027284619656;0.34141201264488935;0.3333333333333333;0.32066316380730875;0.29162718845234636;0.31621647812208104;0.28052193341709697;0.29042457810104355;0.29548158562581694;0.27682962105872144;0.28714000570287995;0.2937853107344633;0.2361820307726138;0.3187912330011154;0.34029223013871546;0.3019599004295452;0.3000383911617611
