Parameters;Iteration 0;Iteration 1;Iteration 2;Iteration 3;Iteration 4;Iteration 5;Iteration 6;Iteration 7;Iteration 8;Iteration 9;Iteration 10;Iteration 11;Iteration 12;Iteration 13;Iteration 14;Iteration 15;Iteration 16;Iteration 17;Iteration 18;Iteration 19;Iteration 20;Iteration 21;Iteration 22;Iteration 23;Iteration 24;Iteration 25;Iteration 26;Iteration 27;Iteration 28;Iteration 29;Iteration 30;Iteration 31;Iteration 32;Iteration 33;Iteration 34;Iteration 35;Iteration 36;Iteration 37;Iteration 38;Average
kernel:rbf | gamma:scale | nu:0.05;0.3279528148683409;0.3142361111111111;0.30668265770998127;0.3110759861699491;0.3001044696357957;0.30826552008768293;0.29596452331287615;0.30679957300264793;0.3171763184283696;0.29457928461791577;0.3090552357428839;0.2971512299026596;0.3091640457632526;0.30674178255254736;0.31643100995631546;0.331341962606483;0.3190680747985149;0.2941915587077151;0.29873229122837436;0.31135604517504345;0.32942084062777877;0.3106154333620679;0.31557150865421807;0.300123231298807;0.3036970658399835;0.30637362637362636;0.3074563921506229;0.3094453761591264;0.2991536213472409;0.2880292455543488;0.30301810354267833;0.2974424798594323;0.3075261632359636;0.30487998761740875;0.3040323755135906;0.3107192396025195;0.304659437250696;0.30699583529545355;0.3123100963397014;0.3076292450000954
kernel:rbf | gamma:scale | nu:0.1;0.3635981504833964;0.3383981499576575;0.3306980939942001;0.33821204783252445;0.3353959819159411;0.3352122357674353;0.3186224610943749;0.32512799296685113;0.3418260164086804;0.3201595358955765;0.33941429103351184;0.31920075275363924;0.32741293879544975;0.33781075471557565;0.3434815046403176;0.35821037090801117;0.3507213709457975;0.32909399517290194;0.3224025157643463;0.3417397406428543;0.3520371967823697;0.34353512027659505;0.34525554578325024;0.3379182778465397;0.33254861890089077;0.3299725062106888;0.33599006972060724;0.333957332866456;0.32317430739022146;0.31907490176080633;0.33595871228155694;0.3256113256113256;0.3371337664059393;0.3390886347805501;0.333247989075935;0.34379343085612535;0.34422509993188155;0.33795272400805815;0.3390624236602204;0.3360583816881811
kernel:rbf | gamma:scale | nu:0.15;0.38238941711451013;0.3534527620847714;0.35119926272566643;0.3703962055207749;0.36885486391146227;0.361624774925329;0.3409658797354601;0.3490812638504792;0.37129206166110224;0.34216613483016634;0.36685797883554405;0.3497828274643731;0.3422202140932433;0.36193844875186026;0.3764909449633613;0.37957124842370743;0.3804812300922932;0.35812291891741804;0.3527791712752819;0.35878927192919474;0.3848440737621218;0.3636438345797357;0.37502441957565896;0.3703116136542113;0.36630867492929975;0.3574697727078527;0.35525451063605684;0.36769941865491007;0.33644876079086605;0.34053698221678785;0.36179068041745843;0.36093855708625455;0.36306806446037826;0.3614250655269704;0.3770113156181254;0.37088806269182845;0.372708678912815;0.3688150348175161;0.37083217930417367;0.36265324567818
kernel:rbf | gamma:scale | nu:0.2;0.4030984085233633;0.37503444692024845;0.3762999962230119;0.3996872935266266;0.396641656055882;0.38390374783209325;0.3631395548547209;0.3743859714163902;0.37998673754181134;0.3551963220000385;0.3831521905070299;0.37405287555022637;0.36243930221613757;0.38521912351259147;0.3973317482332739;0.40010748487378456;0.396005528180161;0.3822682060017244;0.37182773003668523;0.3875193855501651;0.4080889020791083;0.3887595366153018;0.3830186142998237;0.3903185548525706;0.3789549948563151;0.3769976170467269;0.3730153460214724;0.3899706375290726;0.3596681705748459;0.36204146730462516;0.3845590810117717;0.380927291886196;0.38388488135537036;0.37782006243676425;0.39487936773762433;0.40075671615341685;0.40267588131047194;0.3879822171325954;0.39984005553381835;0.3838835155203554
kernel:rbf | gamma:scale | nu:0.25;0.4175604945420329;0.3992097603013042;0.39608506323589626;0.4233052753585599;0.4120800848540217;0.41164544352806726;0.40248013337714333;0.39501138094181765;0.40065826950037076;0.3833704612649268;0.3992591840083772;0.4014258360139749;0.3807555967506797;0.4033720659943951;0.4184879256652141;0.4223967433433973;0.42207195460389435;0.40693255816548357;0.40143240393193125;0.41416013997667056;0.4267244940376095;0.41438785757203356;0.40579974991076895;0.4088569378610862;0.3999309616311232;0.40479086589143515;0.38963688290493675;0.40697663218560254;0.3794561886296829;0.38066870293082145;0.39887599559132403;0.39698180243155806;0.3990616847624967;0.3998148556658208;0.4169714617065071;0.4156320027443713;0.4135213856276226;0.40143422200074746;0.4166436859633864;0.40481710629248957
kernel:rbf | gamma:scale | nu:0.3;0.43289224952741023;0.41179776665127654;0.40631986047183066;0.43936067197041107;0.4271019505153998;0.42220267468954176;0.41977770967833317;0.40657280445232347;0.42303030303030303;0.40667830661319415;0.41023864387115483;0.4178517856263072;0.40373367583759767;0.4207056201162658;0.43207377417903736;0.4415077260515612;0.4437121263022413;0.4349454726388575;0.417949003638181;0.42307063628424313;0.43829644128784495;0.4260718819500048;0.42760979470271304;0.4235051242469159;0.4140603949707481;0.4258234688625836;0.4072512420285581;0.4285714285714286;0.3957831294282419;0.3949322806279976;0.4141290048524755;0.41619645215165474;0.4219385867554569;0.4131931565281899;0.42402350853483656;0.43635541443923576;0.43030921741244443;0.4214491926323483;0.4326751186965709;0.42137686155963394
kernel:rbf | gamma:scale | nu:0.35;0.44614159182108004;0.434874487704918;0.42326304383409274;0.45302277938051927;0.4407910526568425;0.43725438456937904;0.42636302629891343;0.4143720626472882;0.4344976500949193;0.42116416104855414;0.42368425271325283;0.42788136547994593;0.42562403169717544;0.441238132924077;0.43895727047349764;0.4544050160423366;0.4533071433411849;0.4515893827704504;0.4388548733012752;0.4336660311764046;0.4582861085339997;0.4415985704923404;0.4431397699975229;0.4387344639137486;0.42990050162350246;0.43459171114651984;0.42342129223829694;0.4428414668324728;0.414404137196745;0.4074702122752968;0.4267245023712468;0.4311964116069603;0.43176674313737956;0.4287128977651505;0.4400743363398965;0.4515450895590839;0.4439911038576617;0.4344176663424475;0.4477423386655278;0.43567977086851045
kernel:rbf | gamma:scale | nu:0.4;0.457728103429273;0.4479292824233655;0.4498055392697995;0.467628958679041;0.45150440265017666;0.44919286153948557;0.444130959384342;0.429167028687577;0.447187263194544;0.4331672597409226;0.44033472064181567;0.43286499303096815;0.4394259721955282;0.46119784479137915;0.44960468406828524;0.46999787999152;0.46190624254370083;0.46269084105777114;0.45492650392260825;0.44909202203631915;0.4674704035974195;0.4547853489918981;0.4590051087897382;0.451762810662405;0.44973367109681084;0.44184987994370967;0.428395518620866;0.453997815991264;0.43116668553437265;0.4223074362124122;0.4392438974446332;0.4456;0.4459148038602415;0.44737001750648553;0.4584339013172905;0.46871295393037193;0.45326313723704525;0.44958071260363297;0.4506374527516177;0.44919781844540096
kernel:rbf | gamma:scale | nu:0.45;0.46845613851694257;0.462864763107669;0.4574496022046166;0.47950754902958503;0.4642224519221657;0.46848655158570857;0.44815742456959096;0.43979062385398027;0.4518731823000027;0.4448523371395712;0.4430534155110426;0.44814528548747595;0.4555972290539433;0.4680717915342061;0.45774294040799923;0.47746059956747844;0.46981646258011955;0.4650584942160814;0.4637422206442683;0.4578344607163718;0.47512999668613065;0.46579955120706706;0.4731406625679754;0.4637999392118881;0.4556890670663483;0.44914436438497174;0.4341044261690633;0.4669838333113079;0.4479601584269788;0.43148158072744286;0.4427727179594313;0.4586780766145879;0.4589525321021498;0.4594113154013837;0.47166109109624293;0.4792704607302374;0.45619725355408175;0.4557165861513688;0.46083594311252296;0.4589464892417948
kernel:rbf | gamma:scale | nu:0.5;0.4760213506008425;0.47237007783882784;0.46721361214607326;0.4844210791054645;0.4714716901539891;0.47112676341737214;0.4550772479580567;0.44448361719924;0.46126816988193453;0.45275098925160906;0.45569820444347753;0.4536534861619568;0.4576674874072644;0.47011796231501546;0.4572220551928671;0.4858352656517794;0.47494492180319936;0.4708704377273297;0.46758634873556426;0.45815822428277897;0.47970981563440446;0.4682220065951881;0.47006316456641406;0.4623449815507985;0.45885082161303536;0.45562566891566636;0.4407851457074764;0.47945823658352993;0.4611156508445884;0.4486769549898889;0.4553873280449453;0.47287266932106;0.47350491129142747;0.4666743238444354;0.4837519251581751;0.4835636834186915;0.45899632802937573;0.4632942858596205;0.46687566762166866;0.46558288617602644
kernel:rbf | gamma:scale | nu:0.55;0.47056226784279725;0.47858037775927126;0.4684398976982097;0.48580535991576224;0.4769738356786928;0.47721210624230886;0.46001798953766365;0.45101627344618;0.4665030118664447;0.45750919290940395;0.4561988728366244;0.45947138689350264;0.4700078024598461;0.4797497057894888;0.46060763451691433;0.4926525006775492;0.47591471336225566;0.47139772068688757;0.4698231205085887;0.4627704876663933;0.4787743132113993;0.4697997088973468;0.47263405429097083;0.46838045544188167;0.4697997088973468;0.461941433868856;0.44252052989359547;0.48067939699738865;0.47031790338697643;0.4532748752510153;0.4704718075558349;0.47787320844988707;0.475672509126397;0.4802262200812185;0.4903939254955919;0.48136195995785036;0.46618943809770885;0.4681761215703141;0.476115036755769;0.47040556065441363
kernel:rbf | gamma:scale | nu:0.6;0.468285136099516;0.47691612475400014;0.4753054906569342;0.49300108198651593;0.4766363666071195;0.47393524493575;0.463523270684028;0.4561313289760782;0.46721602614193364;0.45710317565150527;0.4581133735283336;0.46733157108162393;0.4755335141541325;0.48601563310897666;0.46311925460428427;0.49287577326103543;0.47850681673230044;0.48142479791732706;0.47274396446914624;0.4570742017567522;0.48269079236147455;0.4762373565889003;0.4806142082825057;0.47172435055716483;0.4742704764476549;0.47366088247678567;0.446217412645036;0.47172569605953885;0.48349182723528683;0.45990805595604334;0.4803771517109763;0.4839296098374132;0.47337042925278217;0.48349858008451413;0.49556093623890235;0.48505427940525325;0.475989855163596;0.4710387579092199;0.48145260342652096;0.4741437284294068
kernel:rbf | gamma:scale | nu:0.65;0.47511298236941374;0.48138226793124034;0.47917371016106836;0.4937243213808907;0.4763198146523607;0.4782548451990271;0.46838505279560594;0.4591582619153586;0.4682790601535086;0.45816755079284877;0.459487589098956;0.47513728761927765;0.4831911079773639;0.47657086803506243;0.47061452709058477;0.4970483633894524;0.48366022396917174;0.4907402222122665;0.47140736366621505;0.4583604009614146;0.4845097738988414;0.47597292630553645;0.47528943035021887;0.4760619681899928;0.4757244864695391;0.4768488642590882;0.4617215863111437;0.4700488269620102;0.49374524846222956;0.46752084442125086;0.4819323583744003;0.4763727510059065;0.4840369490445041;0.48887351524885164;0.4949233766009895;0.4862246342744186;0.4850966262692434;0.4817971380471381;0.4802878199582889;0.4774657678416585
kernel:rbf | gamma:scale | nu:0.7;0.47667535624704305;0.4836407891296651;0.4901287325106168;0.4949986963086912;0.4755737006148615;0.4854407807828036;0.46517904160084256;0.46078660919467196;0.4681988129568775;0.46316842571412675;0.4634773434146733;0.48247197840504835;0.47492542897896983;0.4746090986087438;0.4655103272202965;0.4939236111111111;0.48674690683248445;0.49558169266541496;0.4759377508441543;0.45603739682753525;0.48553139134204065;0.4756062028090326;0.4676437220225075;0.4758488072648414;0.47591123474597613;0.480366184308035;0.46635544574824517;0.4629293881723002;0.4955480646328251;0.47173311438065024;0.46926248499386825;0.4690874747893782;0.4862991429648993;0.48872879386474555;0.49707444853877997;0.489859400273734;0.4754105702332247;0.47909507633029846;0.49739073220763197;0.47801779896388835
kernel:rbf | gamma:scale | nu:0.75;0.46989249863638405;0.4791666666666667;0.4771280333289429;0.49432305723557823;0.47375384911470364;0.48554803587166195;0.46198286728885773;0.4661762563544074;0.4748800037212656;0.4713483651964007;0.4608827588647463;0.47190300033738497;0.466995321293054;0.47742465326047556;0.4662595469047082;0.48950923372801636;0.48428859791144147;0.49127906976744184;0.48333031051336783;0.46071316530113043;0.4836775483011326;0.4736627543660861;0.4720100902692427;0.4790276140238581;0.48042599998986196;0.47286314200108526;0.46005898753385643;0.4608577248578166;0.49667061155233627;0.4712880718885257;0.46322055205287693;0.47492329635218417;0.4895282300383835;0.5004192760271333;0.49525090483698087;0.48881937203105086;0.4759131566949157;0.4654416346994735;0.48968381922856524;0.4769366173856923
kernel:rbf | gamma:scale | nu:0.8;0.4591409824345166;0.48068298056495395;0.47217116458865194;0.49379433675971196;0.46240155975227465;0.4863004727975969;0.46732220487265025;0.4566617296670745;0.46980627963353006;0.46895748658348024;0.46415393297447477;0.4630856216018187;0.4631282160045185;0.4671117612057749;0.46895748658348024;0.48612202901691204;0.47480738976896275;0.48478125354243584;0.4771604717274403;0.4590153386227412;0.48199850124252397;0.4590153386227412;0.46656329243554656;0.4671117612057749;0.47732509245972565;0.46953285086128577;0.4638032326887704;0.464202611017219;0.494717909236597;0.4712760207729777;0.45672573539579997;0.4693349970292542;0.48498317358309556;0.48161815023733956;0.48139045512549183;0.4815756756667462;0.47764900025274093;0.4686211230436418;0.47621275260516277;0.4722877018509087
kernel:rbf | gamma:scale | nu:0.85;0.453918161545404;0.4687031578523787;0.44806363025824725;0.4837229313064678;0.4590908170702081;0.46630612680566424;0.4625027349590964;0.44159967389828175;0.44872602263613415;0.4652844645674131;0.4512787392124655;0.45275067363154226;0.4507995975282257;0.46238997133082416;0.4553471081525028;0.47474586168294247;0.476392059151733;0.46509538435821896;0.46321307560578373;0.4482047113626061;0.46784687770690603;0.4490024131402821;0.448685326547922;0.45474216036397935;0.4654679877021345;0.4688086037161866;0.4496987905636372;0.45788346772356614;0.4904303998065017;0.4603264343212513;0.4508401469062468;0.4681969195620623;0.46447292077178315;0.47114973607407773;0.4740209943430802;0.46733318309397476;0.46706929738920716;0.45545796360806795;0.4629155795602453;0.4613457463030066
kernel:rbf | gamma:scale | nu:0.005;0.32513177964444484;0.29595859110049416;0.2915582549756556;0.2903899260524753;0.28990430245779586;0.2920858391790642;0.28747184666608167;0.2871461458966445;0.30409729090178333;0.2824928799153261;0.2955380218779953;0.2795186388395447;0.2894765043909447;0.2957319187296304;0.30109660197676935;0.31028964951541876;0.2994777302393705;0.2809430592760492;0.28177553663159155;0.2971413122798901;0.3062666435151753;0.2938736838341765;0.29225845906153647;0.2864866494920862;0.29128195631513715;0.2849287397598474;0.2913400116144019;0.28509816211141137;0.27509579438797654;0.2786183183807338;0.2820450519874862;0.2838304595100545;0.2971413122798901;0.29225845906153647;0.28450427599647937;0.2956857369598153;0.2895668042363262;0.28792334098670286;0.2947642908910633;0.2915434354084309
kernel:rbf | gamma:scale | nu:0.01;0.32513177964444484;0.29595859110049416;0.2915582549756556;0.2903899260524753;0.28990430245779586;0.2920858391790642;0.28747184666608167;0.2871461458966445;0.30409729090178333;0.28314771447469567;0.2955380218779953;0.2801576790727157;0.2894765043909447;0.2957319187296304;0.30109660197676935;0.31028964951541876;0.2994777302393705;0.2809430592760492;0.28201476931809183;0.2971413122798901;0.3062666435151753;0.2938736838341765;0.29225845906153647;0.2864866494920862;0.29103894630730276;0.2849287397598474;0.2913400116144019;0.28509816211141137;0.27509579438797654;0.2786183183807338;0.2820450519874862;0.2838304595100545;0.2971413122798901;0.29225845906153647;0.28450427599647937;0.2956857369598153;0.2895668042363262;0.28792334098670286;0.2947642908910633;0.2915765148307696
