Parameters;Iteration 0;Iteration 1;Iteration 2;Iteration 3;Iteration 4;Iteration 5;Iteration 6;Iteration 7;Iteration 8;Iteration 9;Iteration 10;Iteration 11;Iteration 12;Iteration 13;Iteration 14;Iteration 15;Iteration 16;Iteration 17;Iteration 18;Iteration 19;Iteration 20;Iteration 21;Iteration 22;Iteration 23;Iteration 24;Iteration 25;Iteration 26;Iteration 27;Iteration 28;Iteration 29;Iteration 30;Iteration 31;Iteration 32;Iteration 33;Iteration 34;Iteration 35;Iteration 36;Iteration 37;Iteration 38;Average
n_estimators:1| max_samples:0.1 | max_features:0.1;0.4801078161571241;0.45579938588561286;0.4348060824472224;0.4292544909334831;0.4317727090836334;0.43038213678380954;0.39385494549099875;0.4275002476431493;0.4353064497048146;0.43159772639090555;0.4134029358922081;0.4322031288494703;0.43103185116529963;0.39326459150247695;0.43948199167742863;0.40964916916909155;0.454291591955633;0.46704186919075635;0.4477423386655278;0.4135651133656453;0.4819385375754336;0.4240199848242484;0.4347796520674744;0.40836018034758337;0.42968235588493364;0.43036354326676907;0.3928978085548449;0.43586966332701504;0.38648258226482424;0.4064098069320696;0.4138821429533789;0.4313990336744619;0.43836405529953915;0.4435030359689872;0.4090700139647994;0.4086531316264865;0.41523233696001893;0.40875169432350283;0.41130982719592685;0.4272570758709382
n_estimators:1| max_samples:0.1 | max_features:0.2;0.42805948949766737;0.4534815507382924;0.4627522464855614;0.4685374149659864;0.43312981519391447;0.442027855828009;0.4509040978174099;0.4261517302845903;0.4473325089343242;0.46494521439785536;0.44915337634177355;0.43795936013834846;0.45412610231309664;0.4479968204616859;0.4442355826547726;0.4308298002381659;0.446309283312978;0.4470127806470159;0.453853108332017;0.45093506039554143;0.43199203395847036;0.44596799911162865;0.4277540723627914;0.4330620299756149;0.4315671673195844;0.451023706646289;0.44108347170120743;0.44393985653488277;0.44979983308588367;0.4447996446717726;0.4597774331294566;0.4510130532265686;0.4387675832156065;0.455925472775505;0.44096887622250014;0.4132265247636078;0.4583677061519814;0.4439996441597722;0.4563904712717219;0.44510666100676544
n_estimators:1| max_samples:0.1 | max_features:0.3;0.46093621932213313;0.48599770393435393;0.4582998071323272;0.46589338606924935;0.5062089415941371;0.4024596235719906;0.46475067142187826;0.44110261772011156;0.4791146581455906;0.40411091096242924;0.550761069344912;0.4406127776694863;0.46585303350631047;0.462394494919628;0.6656172060554302;0.6339291406349611;0.4246542039640484;0.4554674825665574;0.5625152305744147;0.43711345056415873;0.4574603102700554;0.39705448496113666;0.5646231430796549;0.5471885698496336;0.4363955813413577;0.48343263217282395;0.44389714321560914;0.5424331767437983;0.48374096186502535;0.42958211169502275;0.4821138215289731;0.4535944048067052;0.4644843622213333;0.4530544263775971;0.47000789063780946;0.461401451030908;0.47073615672556124;0.5105366693496508;0.44874919672597025;0.47867382369930095
n_estimators:1| max_samples:0.1 | max_features:0.4;0.5947864291982284;0.49530971281074987;0.47448833107747834;0.5770775888091677;0.47339124027375645;0.4848334981866139;0.42793859815572843;0.4881910402891845;0.41199151725467514;0.44439771029366404;0.46961791979982004;0.4206661507074595;0.47892412685668406;0.45999861759646105;0.4553552148477612;0.48476702508960573;0.47268170426065165;0.44559680663760626;0.4856345713864646;0.4239376931008858;0.43766520835844824;0.4625015402940935;0.5309706621132175;0.47355148250462764;0.45422706940838214;0.46300204107242093;0.45038956643908845;0.4940992284871469;0.4478586518148646;0.4603170183447407;0.4503912062593002;0.5841235815376769;0.5417230950684839;0.4565530398618145;0.48189565650787103;0.41300981518011837;0.4751602564102564;0.42015553796002936;0.49055342785908385;0.473275220054213
n_estimators:1| max_samples:0.1 | max_features:0.5;0.438487259864254;0.5667692706638591;0.44743821409455126;0.5341257162766517;0.5592725187527121;0.40427805225826663;0.5305925525627552;0.5012516401303438;0.4391192331695764;0.49346316237188265;0.47335429640133997;0.4926879747334568;0.5533344829545724;0.4391296444225964;0.4350694784523016;0.4962848800627788;0.4835267957552253;0.4631176323777795;0.44275283459992054;0.4705088317516244;0.46325234398628895;0.4528590398260941;0.5156688298215024;0.5409426676739697;0.43781785298436693;0.46418143033180354;0.5433594313753789;0.4423967882055001;0.42399078385254163;0.4369643552785353;0.4932782944493632;0.4625018698201173;0.5399886856791627;0.4744837568523317;0.46282561093779917;0.4445245996248738;0.4749850963511222;0.452724358974359;0.46561080604267635;0.47838259163395475
n_estimators:1| max_samples:0.1 | max_features:0.6;0.43853558547042226;0.4730629282124299;0.44318717103242056;0.473276043697916;0.4278570729954802;0.43599490898342824;0.45833205317274994;0.4004275771165871;0.4424609253689658;0.4079226386571171;0.48220912157057577;0.5245772135968165;0.47314731473147315;0.40677157352550497;0.5550580418274618;0.49159601411275067;0.4417219526487103;0.46398319051285447;0.467631259538774;0.4518986231693414;0.4440006590333441;0.4305261073744226;0.4727784050034689;0.47495503502113945;0.42007700608931153;0.43957408590573227;0.45211518755910074;0.45607616950827845;0.422540466587303;0.451191219059505;0.4607116429955884;0.48581951079490704;0.43592193448227257;0.4137928109310955;0.5165948266186778;0.4559498603391289;0.46879150066401065;0.4089411898094375;0.4463279170351809;0.454265044737274
n_estimators:1| max_samples:0.1 | max_features:0.7;0.4108336505974607;0.4649829539962287;0.435450444881065;0.4442864317487649;0.44619584563653547;0.39288098962744655;0.4169365555906578;0.3944421028825198;0.39552614702361943;0.4045509218872265;0.4117302437931505;0.4434353459127348;0.42509571694300374;0.4077638659244939;0.41626373711254355;0.4495192307692307;0.4567307692307692;0.41414448355870526;0.41791804189083487;0.4537544954204218;0.42196401944639794;0.4007885238505393;0.42290780149830026;0.41730193205170274;0.41560799950544014;0.45582875078942875;0.4425403245184221;0.43696861659061537;0.4124207048514651;0.4213870766160659;0.44564796428323844;0.4016644152657426;0.40010969422734133;0.4142165145882618;0.4450845565948751;0.4536593104562302;0.47577319851660627;0.4169656421943007;0.4249722612405265;0.4263654174746901
n_estimators:1| max_samples:0.1 | max_features:0.8;0.42455309111975503;0.47404569232093763;0.46627668856612636;0.44577430135525803;0.45782433508456744;0.4159207262113772;0.48601107519742226;0.42962757885238506;0.4240535734311668;0.4781085146575807;0.4639008430999398;0.5026275545308438;0.4532756120549483;0.4277231594943174;0.44923783328321065;0.4707850955148837;0.4737634882621645;0.5199087223947516;0.4567579313342025;0.4443999111039858;0.4592115841281842;0.45908783645376705;0.45416384944782506;0.42938965020064995;0.4699688263146736;0.4719217125743259;0.4266128515599974;0.4438277200745703;0.4344976500949193;0.434756849369906;0.42592104393852803;0.4551107253412399;0.4168484108572871;0.47714189264065604;0.444130959384342;0.46831824861390686;0.4592344424831186;0.4555894602119497;0.4345642121063048;0.45345829881194827
n_estimators:1| max_samples:0.1 | max_features:0.9;0.4569764964668982;0.45887973480232047;0.44229684722486273;0.45471615715632435;0.40233360429684006;0.4471996462077735;0.5483022905486546;0.4199164679713879;0.4459034542178629;0.43405191929244163;0.4283333207985379;0.44172979722185535;0.44235681611183975;0.48588738877363696;0.42565805978247206;0.4571804584965059;0.4498499948395849;0.4453781512605042;0.4371144596162014;0.4647122984629802;0.5220083892802632;0.47858833558249636;0.44345529876233114;0.45966767400622077;0.43188219509197423;0.42895531339060544;0.46768121939167007;0.4094023151429247;0.44752565905268216;0.5540990009824769;0.41063154711914285;0.43260790373188746;0.4305174364259483;0.4458879117725437;0.54026274890481;0.43127884586558557;0.44058338863428825;0.43382023191748353;0.46939940833013205;0.4530008253060244
n_estimators:1| max_samples:0.1 | max_features:1.0;0.5643098676319669;0.5782810704052064;0.5951314599116089;0.5869590721345033;0.5630988116287676;0.5643625912726742;0.5669286808914998;0.552532232581421;0.5714458860495133;0.4315762063091353;0.43711730988066244;0.5924348552052715;0.5657540028964729;0.5946474618919875;0.5738396054494497;0.4979399055371319;0.5654368422001386;0.5616589026915114;0.5842121758056671;0.5779627220792778;0.5838355105222337;0.5828505892784308;0.5655137216603082;0.5558132885522251;0.560474790643801;0.5669735957819764;0.5748908614822427;0.5805552336633717;0.5984324366240044;0.5625799792488922;0.5631626312295116;0.5813789618972582;0.48268668769207207;0.5617019897595437;0.5644157580075986;0.5683478289467638;0.590169500074691;0.565909232268364;0.5896152981694007;0.5621778861014503
