Parameters;Iteration 0;Iteration 1;Iteration 2;Iteration 3;Iteration 4;Iteration 5;Iteration 6;Iteration 7;Iteration 8;Iteration 9;Iteration 10;Iteration 11;Iteration 12;Iteration 13;Iteration 14;Iteration 15;Average
kernel:rbf | gamma:scale | nu:0.05 | ht:50 | alpha:0.1;0.2692888757297621;0.1766625866993064;0.18758957787235503;0.2940574044051172;0.11714900652661697;0.2951349971372551;0.17015699519439242;0.17190484065616957;0.26229104622599075;0.2952941249893384;0.1806989130659393;0.35092619305117234;0.3337733213804509;0.1350915058784974;0.25874409797001546;0.4133750980633867;0.24450866155286038
kernel:rbf | gamma:scale | nu:0.05 | ht:50 | alpha:0.2;0.27007248857885746;0.20815776412908288;0.18692784148666053;0.2940574044051172;0.11714900652661697;0.2951349971372551;0.17015699519439242;0.17190484065616957;0.26229104622599075;0.2952941249893384;0.17394721385692669;0.35092619305117234;0.3337733213804509;0.1350915058784974;0.25874409797001546;0.4133750980633867;0.24606274622062066
kernel:rbf | gamma:scale | nu:0.05 | ht:50 | alpha:0.3;0.2677181200652816;0.17382912389693755;0.18659666861105711;0.2940574044051172;0.11714900652661697;0.2951349971372551;0.17443151643895138;0.17190484065616957;0.26229104622599075;0.2952941249893384;0.17058504837019156;0.35092619305117234;0.3337733213804509;0.1350915058784974;0.25874409797001546;0.4133750980633867;0.2438063821041519
kernel:rbf | gamma:scale | nu:0.05 | ht:50 | alpha:0.4;0.2976924076928208;0.17382912389693755;0.18474952137429695;0.2940574044051172;0.11714900652661697;0.2951349971372551;0.16841785246502813;0.17190484065616957;0.14156436441489603;0.2952941249893384;0.1634064577463577;0.27475394466612746;0.3337733213804509;0.1350915058784974;0.25874409797001546;0.4133750980633867;0.232433629328957
kernel:rbf | gamma:scale | nu:0.05 | ht:50 | alpha:0.5;0.2674558677689367;0.17382912389693755;0.18474952137429695;0.2940574044051172;0.11714900652661697;0.2951349971372551;0.1513412336235316;0.17190484065616957;0.14118529401731658;0.2952941249893384;0.1598510537661575;0.24099730856516388;0.3337733213804509;0.1350915058784974;0.25874409797001546;0.4133750980633867;0.22712086250119928
kernel:rbf | gamma:scale | nu:0.05 | ht:50 | alpha:0.6;0.26719348365367857;0.1735133020344288;0.18474952137429695;0.27671847170613073;0.11714900652661697;0.2951349971372551;0.15097207684255895;0.17190484065616957;0.14042638374537084;0.2952941249893384;0.1566313833365783;0.2391602523761114;0.20997234862933223;0.1350915058784974;0.25874409797001546;0.4133750980633867;0.2178769309324854
kernel:rbf | gamma:scale | nu:0.05 | ht:50 | alpha:0.7;0.26719348365367857;0.1735133020344288;0.18408314581276003;0.2452563559049858;0.11714900652661697;0.2951349971372551;0.15060267526085197;0.17190484065616957;0.14042638374537084;0.263858030412386;0.15339271546817745;0.23823984341309865;0.20951559502444456;0.1350915058784974;0.25874409797001546;0.4133750980633867;0.21359256731013274
kernel:rbf | gamma:scale | nu:0.05 | ht:50 | alpha:0.8;0.2669309675392039;0.173197280752212;0.18408314581276003;0.2120711037618851;0.11714900652661697;0.25898385769441506;0.15060267526085197;0.17190484065616957;0.14042638374537084;0.2363438101199142;0.15013482280431434;0.23731817503878783;0.20951559502444456;0.1350915058784974;0.25874409797001546;0.4133750980633867;0.20724202291555288
kernel:rbf | gamma:scale | nu:0.05 | ht:50 | alpha:0.9;0.2669309675392039;0.173197280752212;0.18374964934014437;0.18909145397985744;0.11714900652661697;0.22132174757682646;0.15060267526085197;0.1626113301616084;0.14004654317927195;0.13428458767211648;0.14940821280073235;0.23639524311367346;0.20951559502444456;0.1350915058784974;0.25874409797001546;0.4133750980633867;0.19634468717746625
kernel:rbf | gamma:scale | nu:0.05 | ht:100 | alpha:0.1;0.3418522452567577;0.1764738913657246;0.18989928477594512;0.2940574044051172;0.11714900652661697;0.2951349971372551;0.17015699519439242;0.17190484065616957;0.26229104622599075;0.2952941249893384;0.18172145782276708;0.35092619305117234;0.3337733213804509;0.1350915058784974;0.25874409797001546;0.4133750980633867;0.24924034441872486
