Parameters;Iteration 0;Iteration 1;Iteration 2;Iteration 3;Iteration 4;Iteration 5;Iteration 6;Iteration 7;Iteration 8;Iteration 9;Iteration 10;Iteration 11;Iteration 12;Iteration 13;Iteration 14;Iteration 15;Average
max_k:2| method:gmm;0.49052374159364176;0.09139850308604155;0.24891576613356584;0.27605136851963286;0.14866497046007665;0.08900012114615803;0.4750200155526702;0.09697062464655366;0.4527938342967245;0.29305863479374333;0.5010958270465534;0.26576274972893404;0.39815376088952004;0.13270619350188917;0.3540779561087455;0.457107022132489;0.2982063181023087
max_k:2| method:kmeans;0.49052374159364176;0.0726664639708118;0.2634805948125628;0.21999205087440382;0.15047275389804776;0.08425921339429401;0.4759134271425997;0.1098631325552617;0.19582910907887113;0.3408133280449009;0.3227269240322237;0.3797592971857381;0.24688556552287763;0.14133401962591932;0.3210507099225054;0.4714045166311942;0.26793592801786587
max_k:5| method:gmm;0.49052374159364176;0.09139850308604155;0.3400642080365974;0.27605136851963286;0.07247133399305179;0.09455330361898354;0.4750200155526702;0.09697062464655366;0.41042873157952825;0.29305863479374333;0.5010958270465534;0.26576274972893404;0.39815376088952004;0.11140536223054298;0.3540779561087455;0.42448179930253516;0.2934698700454548
max_k:5| method:kmeans;0.49052374159364176;0.08837954158742868;0.22023465595997083;0.21999205087440382;0.09602380126513449;0.09204929960034149;0.1511452281851541;0.0771440245436393;0.19379386068370158;0.23754442141494878;0.3185223765493361;0.2448632993258835;0.24688556552287763;0.14133401962591932;0.3210507099225054;0.4714045166311942;0.22568069458038006
max_k:10| method:gmm;0.49052374159364176;0.09139850308604155;0.3400642080365974;0.27605136851963286;0.07247133399305179;0.09455330361898354;0.4750200155526702;0.09697062464655366;0.41042873157952825;0.29305863479374333;0.5010958270465534;0.26576274972893404;0.39815376088952004;0.11140536223054298;0.3540779561087455;0.42448179930253516;0.2934698700454548
max_k:10| method:kmeans;0.49052374159364176;0.08837954158742868;0.22023465595997083;0.21999205087440382;0.09602380126513449;0.09204929960034149;0.1511452281851541;0.0771440245436393;0.19379386068370158;0.23754442141494878;0.16527277406073082;0.19009906521993772;0.24688556552287763;0.14133401962591932;0.3210507099225054;0.4714045166311942;0.21267982979322064

max_k:50| method:gmm;0.49052374159364176;0.491869918699187;0.4878098750256095;0.27605136851963286;0.07247133399305179;0.09455330361898354;0.4750200155526702;0.09697062464655366;0.41042873157952825;0.29305863479374333;0.5010958270465534;0.26576274972893404;0.39815376088952004;0.11140536223054298;0.3540779561087455;0.42448179930253516;0.3277334377080896
