Parameters;Iteration 0;Iteration 1;Iteration 2;Iteration 3;Iteration 4;Iteration 5;Iteration 6;Iteration 7;Iteration 8;Iteration 9;Iteration 10;Iteration 11;Iteration 12;Iteration 13;Iteration 14;Iteration 15;Iteration 16;Average
k:1 | numlayers:1 | r:0.3 | lr:0.001 | epoch:2000 | alpha:0.1 | mt:300 | eps:0.1;0.438897941045771;0.43423786697389266;0.4634945846956918;0.3458922030350602;0.3996112008534369;0.3876496732647105;0.3983880789102116;0.4231592735333384;0.38051908037424126;0.37348055897912713;0.3801140590131416;0.3796594569719282;0.369098530719397;0.44714228686722307;0.39141256716992445;0.33119315141787053;0.3642324214334162;0.39459899619166955
k:1 | numlayers:2 | r:0.3 | lr:0.001 | epoch:2000 | alpha:0.1 | mt:300 | eps:0.1;0.40406058692061025;0.41906062102419617;0.4618503751779381;0.5307495619878476;0.5282759051892256;0.5605385683287176;0.4140799240345171;0.5106496959533305;0.3793304415319473;0.3635437881873727;0.5698448983604946;0.4387493737298679;0.44042214201116686;0.44434259850433966;0.39714746037439075;0.33604443262208367;0.37660467333753594;0.4456055910162108
k:2 | numlayers:1 | r:0.3 | lr:0.001 | epoch:2000 | alpha:0.1 | mt:300 | eps:0.1;0.3980631865701551;0.38012552920626463;0.5181842452526817;0.5728298664241724;0.46081504702194354;0.48915180542636283;0.4005435798817407;0.43425275906776717;0.37185929648241206;0.3635437881873727;0.38557082958274197;0.3721747865394274;0.36852740591058347;0.4006233517142172;0.3844508829587667;0.33119315141787053;0.37028949905263986;0.41189405945277174
k:3 | numlayers:1 | r:0.3 | lr:0.001 | epoch:2000 | alpha:0.1 | mt:300 | eps:0.1;0.38484251968503935;0.37922367107177696;0.531287335077916;0.3700835487790385;0.4788493921067687;0.4958150427468885;0.42541426504851304;0.4528949672021191;0.3721747865394274;0.3635437881873727;0.3944411344787083;0.37293218387720645;0.36852740591058347;0.4014843188891549;0.3808582663904996;0.33119315141787053;0.36509370060961843;0.4040387928246178
k:2 | numlayers:2 | r:0.3 | lr:0.001 | epoch:2000 | alpha:0.1 | mt:300 | eps:0.1;0.38484251968503935;0.3864194164166894;0.5399907622634708;0.3486302322347378;0.5248538215807019;0.5642799316435078;0.4170789097534809;0.5037333320828976;0.3800591817270304;0.3694984753326767;0.5782245431976277;0.4332237528023305;0.39842130592787117;0.40986365854882334;0.40339677533687657;0.34580381967032686;0.38482726218267777;0.4337145706109862
k:4 | numlayers:1 | r:0.3 | lr:0.001 | epoch:2000 | alpha:0.1 | mt:300 | eps:0.1;0.38484251968503935;0.37879347075396197;0.5124300793834717;0.43760043409922217;0.5168888421092493;0.483406060336826;0.4001961867527905;0.4460277633839692;0.3721747865394274;0.3635437881873727;0.3961976410365446;0.3743225933589516;0.36852740591058347;0.4014843188891549;0.3878111080618944;0.33119315141787053;0.3648068669527897;0.40707335393288935
k:5 | numlayers:1 | r:0.3 | lr:0.001 | epoch:2000 | alpha:0.1 | mt:300 | eps:0.1;0.38484251968503935;0.36547392904152204;0.40547038765714805;0.47294883465815973;0.4463707228183843;0.48727772519372037;0.3990895376508584;0.40935616786586065;0.3721747865394274;0.3635437881873727;0.4032164202912903;0.3764629139326964;0.36852740591058347;0.4014843188891549;0.38046034946236557;0.33119315141787053;0.36495031616982837;0.3960496044336048
k:1 | numlayers:1 | r:0.3 | lr:0.001 | epoch:2000 | alpha:0.1 | mt:300 | eps:0.2;0.3916227166901348;0.36077729480951165;0.333955868772281;0.3478606152587027;0.34562555102307907;0.3798064996278839;0.35963114754098363;0.39009514515735544;0.3726144293519605;0.3674847041504962;0.3801140590131416;0.3781050327294437;0.37933147396889794;0.4014843188891549;0.3455696988567382;0.33733068138880284;0.37090164088265476;0.36719475753595426
k:1 | numlayers:2 | r:0.3 | lr:0.001 | epoch:2000 | alpha:0.1 | mt:300 | eps:0.2;0.4915333673490142;0.4701599653487707;0.5698827125571027;0.5934312633681568;0.5026649650927107;0.56782286760674;0.4129998870281291;0.49880442072726217;0.379727744436109;0.36798914351016476;0.38592050516276105;0.41198927691780485;0.44133535424196496;0.4070993805051974;0.3501820798534639;0.34142016889450316;0.3754031485651377;0.44519801477441134
k:3 | numlayers:2 | r:0.3 | lr:0.001 | epoch:2000 | alpha:0.1 | mt:300 | eps:0.1;0.38484251968503935;0.3871684377724952;0.5261973707868687;0.3553556696219424;0.5287517531556802;0.552248023715415;0.41773953548554055;0.5104320947544445;0.3816148839542165;0.36289500509684;0.5733775510512279;0.4268288712501688;0.3941395602203831;0.4074011700871106;0.3956809162736731;0.353765404010848;0.3786104213131333;0.43159112871970745
k:4 | numlayers:2 | r:0.3 | lr:0.001 | epoch:2000 | alpha:0.1 | mt:300 | eps:0.1;0.38484251968503935;0.3757532809570574;0.5235708253740308;0.3553556696219424;0.5235552068050116;0.5465035268190128;0.4258329250367467;0.4856586665323822;0.38111538037638454;0.36882611042023505;0.4300392133021248;0.4378028610393756;0.39984973228695136;0.41382108011322366;0.3906026046457207;0.34475806451612906;0.37241309582208376;0.421194162550203
k:2 | numlayers:1 | r:0.3 | lr:0.001 | epoch:2000 | alpha:0.1 | mt:300 | eps:0.2;0.38832170423407253;0.36077729480951165;0.5356706328058021;0.4345267436054813;0.5092651308975159;0.5254606195586151;0.35979513444302175;0.40338511314510533;0.38055585033445083;0.37148837399657386;0.3801774807019303;0.3721747865394274;0.37030831301907224;0.4089952226031401;0.34372261620832695;0.3390735298368477;0.36509370060961843;0.4028701321969713
k:3 | numlayers:1 | r:0.3 | lr:0.001 | epoch:2000 | alpha:0.1 | mt:300 | eps:0.2;0.38947699402578345;0.36077729480951165;0.5269884530499128;0.40377041852195;0.5130980373356425;0.5029744909974868;0.35979513444302175;0.39766245791510896;0.38389573190862125;0.37395158729770483;0.3818987253832228;0.3721747865394274;0.36852740591058347;0.4065567088619321;0.34296977660972405;0.3382026978531169;0.3754201562345918;0.39989063868807895
k:2 | numlayers:2 | r:0.3 | lr:0.001 | epoch:2000 | alpha:0.1 | mt:300 | eps:0.2;0.3846911149396997;0.45927978343870735;0.5656721351452118;0.6000407231263726;0.5153167395750058;0.5582182101963433;0.4094835415094867;0.4083315843763815;0.3792300991160578;0.36997718838627974;0.4806268726034923;0.41754093425044586;0.4000852584715019;0.4027940520031246;0.3490700124978558;0.34475806451612906;0.3731646963427077;0.4363694712055766
k:4 | numlayers:1 | r:0.3 | lr:0.001 | epoch:2000 | alpha:0.1 | mt:300 | eps:0.2;0.38947699402578345;0.36077729480951165;0.49914198417902533;0.39692324614030877;0.5107961552401893;0.5108099941819537;0.3751247173169608;0.40357758652469794;0.3849502335477244;0.3719675713676925;0.38080440303320745;0.3721747865394274;0.36958020831009675;0.40610875238386357;0.34372261620832695;0.33733068138880284;0.3815343329555962;0.39969420930312755
k:5 | numlayers:2 | r:0.3 | lr:0.001 | epoch:2000 | alpha:0.1 | mt:300 | eps:0.1;0.38600447435284874;0.3842016263540927;0.3250539956803456;0.3634987531188561;0.5215690514758028;0.5532481984772073;0.4228666054496869;0.5068708584944221;0.3881118881118881;0.379418950021066;0.4136281719746925;0.4728600101457906;0.4023998488284203;0.4019917717472822;0.39499323288727156;0.34885528340079275;0.3794396143542603;0.4144124902867486
k:1 | numlayers:1 | r:0.3 | lr:0.001 | epoch:2000 | alpha:0.1 | mt:300 | eps:0.3;0.38484251968503935;0.36077729480951165;0.3282975912845132;0.5965073887151808;0.5126354197420404;0.5374282273242578;0.39847015572628436;0.3964767994576356;0.38620805876131703;0.3674847041504962;0.5020948776861738;0.38793087471749715;0.37709861303828107;0.4013409961685824;0.3479760125188605;0.3329527281598135;0.36509370060961843;0.41080093897382963
k:1 | numlayers:2 | r:0.3 | lr:0.001 | epoch:2000 | alpha:0.1 | mt:300 | eps:0.3;0.3973198581296119;0.3692926223659668;0.5560511776751487;0.5976318774815654;0.36139300893399257;0.5629954152369391;0.40494373182739496;0.404907695749583;0.3931164413702125;0.36547314572000195;0.457583999985101;0.3821697611902976;0.38267458483091904;0.4014884571539199;0.3457445734122889;0.33470749553016516;0.3760145244259153;0.41726519829523673
k:3 | numlayers:2 | r:0.3 | lr:0.001 | epoch:2000 | alpha:0.1 | mt:300 | eps:0.2;0.3900012395696736;0.3863252974245964;0.557258616332916;0.6027988215488216;0.47612500061603363;0.5507339588377724;0.4296258090391457;0.3994036431468423;0.38967396431805423;0.36547314572000195;0.48521511114906213;0.37539368659015165;0.39630902274292157;0.39959320305359497;0.3483302797952158;0.34494729005691976;0.37511613307284886;0.42778377782438665
k:4 | numlayers:2 | r:0.3 | lr:0.001 | epoch:2000 | alpha:0.1 | mt:300 | eps:0.2;0.39146441346571725;0.40029365639645303;0.5499108734402852;0.35424708091965856;0.40090985626908215;0.5565120032570922;0.40789473684210525;0.41020918621061125;0.3853220510383732;0.366811078175153;0.4922317443434181;0.38478103458935753;0.3918604466271809;0.3979807641123871;0.34835799312599547;0.34427381190512696;0.37496404382730575;0.40929557497325314
k:5 | numlayers:1 | r:0.3 | lr:0.001 | epoch:2000 | alpha:0.1 | mt:300 | eps:0.2;0.3871642001009932;0.36077729480951165;0.5099899303392088;0.3967523987963436;0.5163008031369505;0.5165745856353591;0.387934714249699;0.4032446665320681;0.3749115788480885;0.36914972608586344;0.3814301640388597;0.3721747865394274;0.3729518535446833;0.4078534680988467;0.34372261620832695;0.3382026978531169;0.3704371803063039;0.40056309794845
k:2 | numlayers:1 | r:0.3 | lr:0.001 | epoch:2000 | alpha:0.1 | mt:300 | eps:0.3;0.3881668588198302;0.36077729480951165;0.38461842391196976;0.5169707304200053;0.47759461342001397;0.5610348407751823;0.40527995358282565;0.3923542310639085;0.3921790345645124;0.3649731367233926;0.50912318059666;0.38775883180729936;0.38769868132398544;0.40410088913082925;0.3456119921932659;0.3390735298368477;0.3648068669527897;0.41071312293722523
k:2 | numlayers:2 | r:0.3 | lr:0.001 | epoch:2000 | alpha:0.1 | mt:300 | eps:0.3;0.39890170202205866;0.37673894481264414;0.355885533464475;0.4013099276257171;0.37391078180356185;0.5578426213511098;0.36611339743714766;0.40623535602928634;0.3851516934261636;0.37131671054206056;0.4555076619011397;0.3868827312257392;0.39842130592787117;0.40307563118263695;0.34429824561403505;0.3438966842671152;0.3730139165314623;0.3940295791273073
k:3 | numlayers:1 | r:0.3 | lr:0.001 | epoch:2000 | alpha:0.1 | mt:300 | eps:0.3;0.3906300767190843;0.36077729480951165;0.4269340974212035;0.57913700553778;0.4617091089993656;0.5617320349976891;0.3920031215751008;0.3918847514211976;0.38133131660725744;0.36731640928160886;0.5069659514457914;0.3860029193270152;0.3937755563165255;0.40410088913082925;0.34578801256087016;0.3382026978531169;0.3663498821447121;0.41497888977345054
k:4 | numlayers:1 | r:0.3 | lr:0.001 | epoch:2000 | alpha:0.1 | mt:300 | eps:0.3;0.3952204803006283;0.3643053727414144;0.45252987064062944;0.6358977344728951;0.46980775898751037;0.3802677243430838;0.38162974712146075;0.3914489850127221;0.3720170811353931;0.3661447730025007;0.46947543975110684;0.3922812048088989;0.39816428819767496;0.4027940520031246;0.3438960573098551;0.3390735298368477;0.36509370060961843;0.4070616353103156
k:1 | numlayers:1 | r:0.3 | lr:0.001 | epoch:2000 | alpha:0.1 | mt:300 | eps:0.4;0.39571150097465885;0.36363544823364635;0.4375293674115035;0.3467467990593154;0.36180260053460467;0.3828339035383505;0.36877845728059994;0.40258465773676766;0.37581609899041624;0.36698162024962905;0.48738703186671123;0.38250470763737743;0.37726672507696407;0.4027940520031246;0.345044550113511;0.33207354246370263;0.3663498821447121;0.3821082909009174
k:1 | numlayers:2 | r:0.3 | lr:0.001 | epoch:2000 | alpha:0.1 | mt:300 | eps:0.4;0.3971545695683627;0.40068635980437123;0.39409112070982577;0.37802401012985376;0.3802666666666667;0.40055231014865555;0.3646336574342288;0.40590366581415177;0.3870701320551022;0.37014815424195285;0.4577898767500299;0.38566259735753167;0.397422604058658;0.40214081870069435;0.34394930688627606;0.3408116521315021;0.36594885279080297;0.3866033150146274
k:5 | numlayers:2 | r:0.3 | lr:0.001 | epoch:2000 | alpha:0.1 | mt:300 | eps:0.2;0.39098914045705385;0.39934809855989706;0.5437105565117614;0.36441648807173876;0.41367732600939916;0.5557187413883808;0.40772328832030325;0.41270892651039753;0.3841036606539101;0.37014815424195285;0.507483997240627;0.388804257623632;0.39350131630924073;0.400277387639455;0.3547194633353447;0.34513643446444986;0.38693028178090727;0.4129057364187324
k:3 | numlayers:2 | r:0.3 | lr:0.001 | epoch:2000 | alpha:0.1 | mt:300 | eps:0.3;0.3979476072607261;0.3872931869538523;0.4012052286520712;0.4204468800365011;0.38178795230917373;0.559915479740191;0.36280399850994166;0.4065674266851892;0.3844424634893242;0.36446491940334413;0.46838709677419355;0.38654044142283633;0.40178520076940716;0.40292891814753257;0.34279705573080965;0.3390735298368477;0.371509451106134;0.3988174609898868
k:4 | numlayers:2 | r:0.3 | lr:0.001 | epoch:2000 | alpha:0.1 | mt:300 | eps:0.3;0.3936020812974456;0.39954372178683906;0.32591278696074844;0.40960596450101927;0.3873474984117794;0.56174936278864;0.3607997038410913;0.40640026529597084;0.3800591817270304;0.37014815424195285;0.4989035087719298;0.38478103458935753;0.3954202879152169;0.40047961630695444;0.3433754648210525;0.34427381190512696;0.3721129592560344;0.39614796496577587
k:2 | numlayers:1 | r:0.3 | lr:0.001 | epoch:2000 | alpha:0.1 | mt:300 | eps:0.4;0.39197258140999414;0.37950726271975355;0.45117789128954167;0.34691745036572624;0.3528907537129605;0.3838035386330841;0.36942386805493194;0.39681345549316205;0.3868978243978244;0.365292421626874;0.4752071061718364;0.3868827312257392;0.39459961468255755;0.40410088913082925;0.3438960573098551;0.33765007732158125;0.36908495061709834;0.3844775573037265
