Parameters;Iteration 0;Iteration 1;Iteration 2;Iteration 3;Iteration 4;Iteration 5;Iteration 6;Iteration 7;Iteration 8;Iteration 9;Iteration 10;Iteration 11;Iteration 12;Iteration 13;Iteration 14;Iteration 15;Iteration 16;Average
kernel:rbf | gamma:scale | nu:0.05;0.3390692954504625;0.45850813109069444;0.6072793109415977;0.5974701231018825;0.451143489240298;0.4465666452412529;0.5001305996813509;0.4059655566417081;0.4235964769383943;0.5164638571500904;0.5733840396874733;0.5397351621407563;0.3938654365212533;0.2700612498194407;0.3314668980609811;0.5211680417644206;0.5004748832589955;0.4633146586312384
kernel:rbf | gamma:scale | nu:0.1;0.37626077845670913;0.4988787464370069;0.6505046372067649;0.6269138161805614;0.5585299645297083;0.5719894383144718;0.48427954080653;0.44736846765781313;0.4988537780300476;0.5924558488407751;0.5915811147107441;0.5819180559389641;0.46705297663682843;0.29833333333333334;0.33264103597274974;0.5687046097799016;0.5704688030829956;0.5127491144656415
kernel:rbf | gamma:scale | nu:0.15;0.4029765869852019;0.5371867007672634;0.6731492616159767;0.6457313027254963;0.5969607447842359;0.6014818140996857;0.47022179300117206;0.45780316921296216;0.5628265403696047;0.639826089746675;0.6206870835594209;0.5767032944393942;0.5049278970847598;0.3286520183995195;0.33779622880321525;0.6053333333333333;0.585861561119293;0.5381250247086594
kernel:rbf | gamma:scale | nu:0.2;0.4393716826798486;0.5521414280679202;0.6874096450428238;0.6574288809429625;0.5930958294565298;0.6202876659030807;0.4555915815514243;0.4614748523871045;0.596768773773841;0.6543820831671914;0.6251770401650094;0.5641162112063428;0.545713917632572;0.37683840715873873;0.3606369493144833;0.6171641526555434;0.5947273706988068;0.5530780277531897
kernel:rbf | gamma:scale | nu:0.25;0.47308458444737733;0.5720443453676874;0.6983974200980176;0.6558405384868151;0.5939204084000465;0.6318859729989961;0.44536182612918895;0.46021574097264806;0.6274079513148529;0.6701497464040711;0.6273442249934112;0.5203604822504101;0.552219252696025;0.4155841973966976;0.3869810613404003;0.6286049151674467;0.6031051517290049;0.5625004600113587
kernel:rbf | gamma:scale | nu:0.3;0.4978454242376588;0.5862832325795633;0.6966869817729474;0.6447772657450077;0.5982108380800113;0.6393016880680998;0.4388665221674257;0.43818981515395694;0.630041382110528;0.6679670752283452;0.6255171312772692;0.48897058823529416;0.5555686409233036;0.44708985092831555;0.41166434274082053;0.6323552762269928;0.609714389027239;0.5652382614413399
kernel:rbf | gamma:scale | nu:0.35;0.5367261940882347;0.5980666203776059;0.6939464044727203;0.638525401645567;0.5930320622839574;0.648528028943576;0.43549586201660256;0.4198344700593751;0.6381329843779282;0.6689260057360097;0.6212098507416961;0.4585749693192483;0.5596347434416002;0.47072590814128246;0.42702210462552215;0.642191603085003;0.6079528638365432;0.5681485927760277
kernel:rbf | gamma:scale | nu:0.4;0.556070024779971;0.6057808109193095;0.685800470730933;0.623139614210922;0.6004220327781407;0.6479602402153655;0.4214097672460069;0.412447056426114;0.6397199093739285;0.6605553364431271;0.6161876688774257;0.4394687556040137;0.5646150705855231;0.49406690896759564;0.4469961406572919;0.6444529197879367;0.613410934484676;0.5689708036522518
kernel:rbf | gamma:scale | nu:0.45;0.552782684567228;0.5969607447842359;0.6779438849425123;0.6218995765275257;0.5925835112620197;0.6446748466761694;0.4189399482274988;0.4036766963960749;0.629275210835586;0.6490518642923776;0.6142427739956424;0.4243425574145448;0.5678405806143032;0.5119714597718208;0.47988996354161384;0.6515392842048799;0.6155370883348723;0.5678325103758181
kernel:rbf | gamma:scale | nu:0.5;0.5500551815820025;0.5929728821537354;0.6713637602398244;0.6192010912996877;0.5852645022813387;0.6316284328721755;0.4102025691699605;0.3998927067956919;0.6123562973920156;0.6450586652551717;0.6152125562329336;0.40272439587563563;0.5769552632460879;0.5228651172975081;0.4949930053864678;0.6562679518964005;0.6051280524160914;0.5642436724348664
kernel:rbf | gamma:scale | nu:0.55;0.5419940561006392;0.5926677568279067;0.664223330424075;0.6061609472205499;0.5686715766503001;0.6137814997514435;0.4029035140307714;0.39883111859232384;0.5969948003120199;0.6346288488619151;0.6091343097655331;0.39221443558764196;0.5726329465219395;0.5263933793812918;0.4885350315259106;0.6539623674651809;0.5991189768563586;0.5566381703456353
kernel:rbf | gamma:scale | nu:0.6;0.5408681765389083;0.5718091115022402;0.6574464151808033;0.5778695151178997;0.5595687783470646;0.5957641313795353;0.3956324942901914;0.39405429677839054;0.5733796852325941;0.6292117642902324;0.582804650186649;0.3871139915764662;0.5703329756491144;0.5237201365528853;0.4602523999568547;0.6471100082179861;0.5892170885584717;0.5444797423150757
kernel:rbf | gamma:scale | nu:0.65;0.5379882377240757;0.5539062131736937;0.6368531942723166;0.5466820987654322;0.5478165173440543;0.5729262196328064;0.3861286531305055;0.394948568888035;0.5524172782402594;0.6263425897293173;0.5687493771096281;0.38396624472573837;0.5677258698092031;0.5098442384682549;0.4412656892327764;0.6445809743425559;0.5764856425398677;0.5322722121840306
kernel:rbf | gamma:scale | nu:0.7;0.5314898771828823;0.5344033964279252;0.6086067255208047;0.510023076332534;0.5233306325118884;0.5512251091864683;0.3742177722152691;0.3907446602525154;0.5318014974414913;0.6156523647998461;0.5478595712654417;0.3783993783993784;0.5575319725781113;0.49616273652000414;0.42691485268791535;0.6279111745617598;0.5703088594259818;0.5162696269006011
kernel:rbf | gamma:scale | nu:0.75;0.5178920074196859;0.5102407203408725;0.5779035734640618;0.478716999799327;0.49800064628261165;0.5347061399087469;0.36948096129217944;0.39033402305645876;0.5056257355948106;0.5998052835731544;0.5281512010934742;0.37442880632193304;0.5401134960988843;0.4851461008584782;0.41306858221127324;0.6154229516911423;0.5481358289228784;0.4992454739958808
kernel:rbf | gamma:scale | nu:0.8;0.5004867338404669;0.48463413950195955;0.5482595385523714;0.45305598331651786;0.4669331120004371;0.5195772279606053;0.3647830133580041;0.3898851398020005;0.4856239411674111;0.5738599902459058;0.5027935353980406;0.37185929648241206;0.5229701727051379;0.4793389442218874;0.4038320217637812;0.598446475099313;0.5197053495375091;0.4815320361737507
kernel:rbf | gamma:scale | nu:0.85;0.47312802548578026;0.46074912318888883;0.5141799240269083;0.41248298502682357;0.4373909185989658;0.503207857832283;0.35979513444302175;0.3858519178742288;0.46132030962416853;0.5576000626827009;0.4765107284507181;0.3721747865394274;0.4906796907289974;0.469096351427878;0.39839057446480824;0.5724272286566641;0.47687617455130316;0.460109517270798
kernel:rbf | gamma:scale | nu:0.005;0.29611179727442954;0.3281633906633907;0.3786426411320303;0.4216127843512403;0.3293032260613603;0.3609911303080396;0.45193656771525625;0.3370463315791308;0.3284456246295717;0.41226084142662595;0.5021995985790573;0.3528691874511717;0.30437658027494263;0.25611355006544967;0.3216590792978499;0.4327562330282735;0.30857260497743666;0.3601800687538386
kernel:rbf | gamma:scale | nu:0.01;0.2907463514043222;0.3368600365637546;0.40465813822941366;0.4726188928710702;0.34413589270414036;0.3759255341654326;0.4793097029024107;0.33874620841495595;0.35079533306722827;0.43810266591038005;0.5059883767593859;0.3958277248434404;0.3078261534637374;0.25932994311969704;0.3242525017842771;0.45737107136655675;0.3267168392906472;0.37701243334475587
kernel:rbf | gamma:scale | nu:0.015;0.2934267965935904;0.359107366243264;0.4327289762038955;0.5011924050172034;0.3466870690144476;0.3790126688452239;0.48895676691729323;0.3378964429499821;0.3633872704718023;0.4578410916448575;0.5157887257278354;0.4166868649722378;0.31523809523809526;0.2566161165625929;0.32386658901668053;0.4801586574854101;0.3511168351138918;0.3893946316481355
kernel:rbf | gamma:scale | nu:0.02;0.29566134539409;0.3889591234723978;0.490181518729797;0.5476824239756491;0.35978783169121525;0.38235022980785693;0.49694843734239774;0.34777570991074286;0.3705480849750144;0.471753002660278;0.5232145179017654;0.4329032713244326;0.3144618544547446;0.25524683847038193;0.32701022944451247;0.48280293642551003;0.3687472058621654;0.4032961506966442
kernel:rbf | gamma:scale | nu:0.025;0.29777085522408514;0.4094983010886901;0.5362250723337759;0.5584980436986875;0.382144220148319;0.40104334608564923;0.49674493428316935;0.35325910060397375;0.3799272914309449;0.48016654013356097;0.5335480825456697;0.4465160084666382;0.33025892967784376;0.2557399371776649;0.3274113576104378;0.497169378753473;0.3964375267214384;0.41660934858729537
kernel:rbf | gamma:scale | nu:0.03;0.30283050813696394;0.4222502690203082;0.5424719674116663;0.5785432067130156;0.4132738223175455;0.40906519033971367;0.4953098849202745;0.3602303335794515;0.3913415046179967;0.4868520669289308;0.5450419748230185;0.4607577472832704;0.35969139979469616;0.25806606780572844;0.327599226858472;0.4986228779178131;0.4135842674802601;0.42738425387936035
kernel:rbf | gamma:scale | nu:0.035;0.31778573650262265;0.42752502450727503;0.56959184161564;0.5871913082032276;0.4179788761524018;0.4158392059129805;0.49256080233783495;0.3671609213742999;0.40060644524363587;0.5028240955833041;0.5633363355635614;0.4824763560837565;0.3667851104407176;0.2621971284573685;0.32735758937630854;0.5113198374073387;0.44707321671213707;0.4388005783220241
kernel:rbf | gamma:scale | nu:0.04;0.32265281906905263;0.4363753609144274;0.5756130577695818;0.5928118169954004;0.4231446184490693;0.4251992642550582;0.4933587743028782;0.38495715242253514;0.40875608587068946;0.505657606301467;0.5662232504337767;0.4959959120777344;0.37624287118531974;0.26857962815932246;0.3288018119796003;0.5164217984305648;0.4515476024909987;0.4454317312416163
