Parameters;Iteration 0;Iteration 1;Iteration 2;Iteration 3;Iteration 4;Iteration 5;Iteration 6;Iteration 7;Iteration 8;Iteration 9;Iteration 10;Iteration 11;Iteration 12;Iteration 13;Iteration 14;Iteration 15;Iteration 16;Iteration 17;Iteration 18;Iteration 19;Iteration 20;Iteration 21;Iteration 22;Iteration 23;Iteration 24;Iteration 25;Iteration 26;Iteration 27;Iteration 28;Iteration 29;Iteration 30;Iteration 31;Iteration 32;Iteration 33;Iteration 34;Iteration 35;Iteration 36;Iteration 37;Iteration 38;Average
kernel:rbf | gamma:scale | nu:0.05;0.41365217763830264;0.3992014743138465;0.41320641303885275;0.40998221320403694;0.40765208313609275;0.40583217920233877;0.42292047869268634;0.40589157248519436;0.40523499974307486;0.40948481571675543;0.40380291363554743;0.4194804399839251;0.39938488959754764;0.4091197830705427;0.4233176116045367;0.4235029538131042;0.4330147689731496;0.40034241825002137;0.43377765429936405;0.4096275885895616;0.418652866928729;0.401258571836823;0.39971907020044606;0.4046824537047915;0.4007681192270167;0.4034776792117523;0.40401318961441574;0.40548122861407127;0.4090051586837844;0.40763517167621066;0.4098028741599694;0.4146884351720186;0.41562504026205427;0.41317885106596103;0.4301069901329473;0.4151233510272069;0.4282041387464124;0.41404210001314345;0.40588077336197637;0.41153270493918487
kernel:rbf | gamma:scale | nu:0.1;0.44275829057311406;0.44653729751299887;0.46705833804342933;0.46529717285801;0.4704202366381069;0.45274550991107965;0.47782399896366257;0.4637692710955761;0.4608732645991605;0.46366731483389345;0.46042676211588296;0.4655439915503034;0.4620705802639745;0.4718094843750306;0.4750541654227289;0.4752291772577445;0.4848520137550689;0.4577328438087932;0.4864444300058214;0.46425635846974;0.4671604909347323;0.4631512873680712;0.4549723841779546;0.469138520431699;0.4577102986404483;0.46344091913712165;0.4655242758057936;0.46426526639511867;0.46103702197579666;0.46170674630475117;0.4672776304247943;0.47066472783371904;0.4746059544658494;0.47392323096287214;0.49343912114739097;0.476127278846337;0.4760491316682792;0.4693857139901852;0.4612899522786533;0.46680103730368433
kernel:rbf | gamma:scale | nu:0.15;0.481686443758555;0.4785924014232691;0.5149835914167125;0.5090080283844194;0.5177133655394525;0.5031904251420827;0.5306566987012606;0.5056497175141244;0.506497580752199;0.5130678112229097;0.5007465870135538;0.5079879741479261;0.5118540854064284;0.5160404020101798;0.5224123399316877;0.5184724930337945;0.5312512143750923;0.5005614156528319;0.5333709220009313;0.5076155462184874;0.5203358324077503;0.51544476719626;0.5086103855859047;0.5159461178878655;0.49832474284915473;0.5070005915992901;0.5070530082331813;0.514183350664953;0.5091357177677073;0.49981900127656814;0.5081145798380755;0.5125192922599959;0.5153785466065532;0.5220974419179436;0.5304194897782615;0.5195918870768368;0.5285270215372732;0.5159747640588208;0.5120144543821101;0.5120987188864206
kernel:rbf | gamma:scale | nu:0.2;0.5064412238325282;0.521988604336545;0.5523684151153705;0.5451106118005995;0.5569855810212143;0.538381092089532;0.5606679513157614;0.5459964406120944;0.5423050923839567;0.555886306894565;0.5374815952883938;0.5430710363693049;0.5490909417095524;0.5453020091247;0.5610701469922862;0.5564113453643544;0.5677706717886243;0.5349496913218571;0.5713940540578648;0.5482119838992194;0.553955395539554;0.5507550755075508;0.5543358243587077;0.545900534052979;0.5338489670653292;0.5425786080462944;0.5480754096822502;0.5509056815474589;0.5463917525773196;0.53932573296838;0.5442389158024012;0.5483617733404955;0.5499157813942552;0.5663289473347313;0.5606875360092184;0.5571319046016515;0.5648756746430378;0.544632133189579;0.5465589431714981;0.5484535740038722
kernel:rbf | gamma:scale | nu:0.25;0.5384484084596282;0.5479259321847292;0.5784983514958341;0.5717014930726119;0.5859969929127811;0.5635833401790848;0.5962185244536304;0.5748899410530108;0.572142537108222;0.5799805854133704;0.5589360046187933;0.5729437683121392;0.5790178662896716;0.5744758527255722;0.5943528795179198;0.5830195975987051;0.59917922145084;0.5623405626290254;0.5975420460546319;0.5745985844948154;0.5780270130035003;0.5742839584578181;0.5729963192763401;0.5738228538616135;0.5606921601371185;0.5695701900089354;0.5693519467213115;0.5799590578205377;0.5732842986555173;0.5631414033195488;0.5655439253911185;0.574623938722776;0.5762372072855508;0.596541491160212;0.5782655105774854;0.581369777317565;0.5910615497982997;0.5742358795709964;0.5646885602714296;0.5749612700354536
kernel:rbf | gamma:scale | nu:0.3;0.5550621760596562;0.5760327456890239;0.6047880153963932;0.5912389964434575;0.6112832743531229;0.588511766943433;0.608590120718201;0.5947677513180776;0.5901118039578515;0.5991445624100895;0.5788975052662013;0.5942546784812828;0.6052143927552813;0.597800115595226;0.6136987114472927;0.6019784368095493;0.6154154957848254;0.5818495302856959;0.6188582970572647;0.6011113063205427;0.5957183914724178;0.5959966217391185;0.5972527071149119;0.6012465645857872;0.5833036845635515;0.5937106407183196;0.5820714952467276;0.6039635265733214;0.5931245698831692;0.5805152979066023;0.5832521983748526;0.60112395840062;0.6007532375173268;0.6145606410614517;0.5962119924957552;0.6000661848089721;0.6158653091978882;0.5947950742548096;0.5877825497505482;0.5961519058656057
kernel:rbf | gamma:scale | nu:0.35;0.5765329507183994;0.5916036299306568;0.6152212273707601;0.6070817055289706;0.6301495270064084;0.6049376638401044;0.625365045599819;0.6126210282587425;0.6035149400960482;0.6159031570886844;0.601703923673413;0.6155377486542193;0.6218884844834116;0.6211982504323059;0.6277101113607542;0.614688231105686;0.6346826907312761;0.6032114881953994;0.6305949456954295;0.6150543221017091;0.6125882290505757;0.6145825859628598;0.6116814706810936;0.6204871505455497;0.6000715627048613;0.6108597698508834;0.6010486720620084;0.6196104419947466;0.6164643342807195;0.6005121914231556;0.5996106080786604;0.6140370158127072;0.6149658435347776;0.6307267281704125;0.6108597698508834;0.6184794049878248;0.634718613328611;0.6139086713180082;0.6143726793353765;0.6135586362781001
kernel:rbf | gamma:scale | nu:0.4;0.5904255345007543;0.6032776420105708;0.6221803808122498;0.6233979977808118;0.6376297174303321;0.6215426960257788;0.6371079010733844;0.6268414101901296;0.6174999999999999;0.6254066071013666;0.6148227827462546;0.6286991674241866;0.6279682464484002;0.6364036783178351;0.635955253415039;0.6216881589137959;0.6440456663604395;0.6135192933150729;0.6371277159720816;0.62562431188256;0.6285921776117854;0.6307931231961488;0.6291872565321592;0.6351165493366426;0.6118823705030602;0.6211166945673848;0.6088549314582086;0.6211980386568021;0.6274765368101969;0.6167368294881193;0.6106985011148405;0.6202718437686069;0.6303107971782227;0.639880203731056;0.6210027412336232;0.6281118579830081;0.6446748466761694;0.6332147449664118;0.6289079468308243;0.6251074911119056
kernel:rbf | gamma:scale | nu:0.45;0.6078087374792427;0.6094450502999613;0.6288341013144618;0.6312597124681536;0.6508167518325592;0.6377839700629955;0.6458057390472725;0.6382454458359137;0.6325148156352469;0.6372581496563463;0.6261799121318892;0.6363636363636364;0.6373423158464905;0.6498985425449895;0.6561968977386606;0.6251445266700785;0.6437938243741453;0.6123574877128688;0.6404716478110313;0.6322828471895855;0.6341016268560777;0.6402435153572814;0.6311519669106556;0.6416194317680765;0.6240474668258976;0.6318779449764402;0.6279304793789211;0.6338295850490973;0.6313714534053517;0.6297497783986986;0.6270877398078655;0.6303808443748038;0.6352754829826599;0.6445947333160442;0.628761482420019;0.6471456799774173;0.650576774567218;0.6369255090185323;0.6350256428279835;0.6343974679547326
kernel:rbf | gamma:scale | nu:0.5;0.6185193727671239;0.6092677067780172;0.6322091585940286;0.6294683718309705;0.6579812866657845;0.6436589575130203;0.6546644733888862;0.6406653147913104;0.6379016686296746;0.653955082767926;0.6318063353798254;0.6453021635788465;0.6425346307590969;0.651740187410677;0.6578350725050525;0.6307598012086866;0.64683592218204;0.6159439409042782;0.6492051038865002;0.6440788648580856;0.6355565169548514;0.6530751977999685;0.6395774084008023;0.6451356766047835;0.6267148736088719;0.6399300910422916;0.6357755920852739;0.6333449137398404;0.6369786888792544;0.6440880514037306;0.6310890891671976;0.636572039275001;0.6497162658668192;0.652378079826445;0.6364678803792367;0.6477481746911287;0.6616927330911276;0.6456614791507214;0.6399324684895414;0.6406607342783772
kernel:rbf | gamma:scale | nu:0.55;0.6274304382651379;0.6148529657028332;0.6363495923866944;0.6378386208894684;0.6649670957750353;0.6464977920480157;0.65423484440568;0.6372756290676947;0.6370310658068095;0.6646381928986937;0.63557451835627;0.6473443511886013;0.645903166616983;0.651839152927358;0.6507327259759264;0.6351307354641698;0.6424639720090863;0.620103888209951;0.6428296009536668;0.6402716711132714;0.6404443945685108;0.6433805639873021;0.640173000567215;0.6461749899959122;0.6203415461050079;0.6338984065405875;0.6351054330654577;0.6364976679652843;0.6405415082024157;0.6479500891265597;0.6297393364928909;0.6380030431128032;0.6409134453518084;0.6494878079509493;0.6395857936392104;0.6518614313995847;0.6560227111556913;0.6438417554914591;0.6381304737798019;0.6411641902194821
kernel:rbf | gamma:scale | nu:0.6;0.6299289798866621;0.6110824411994126;0.6356961836613;0.6401168441877915;0.6636029411764706;0.6440804294483666;0.6499276578495052;0.6346594394289864;0.6361169083596822;0.6671049708233763;0.6348459385634587;0.6337522095404675;0.6397653982534203;0.6545146471914677;0.6537220095027522;0.6390253795469025;0.6439815790703727;0.6233992153379229;0.6384690537614075;0.6391827923966679;0.637639146567718;0.6444427577263951;0.6321616566044687;0.644578689905886;0.61936486564736;0.638599660920632;0.6402994779626563;0.6347715158167364;0.6403474796657997;0.6461479470737502;0.6381105878581526;0.635357998345466;0.6448784675802983;0.6440656640906954;0.6432500609927315;0.6378238021091373;0.6533263992539183;0.638883271517557;0.6417097169063517;0.6402239534803102
