Parameters;Iteration 0;Iteration 1;Iteration 2;Iteration 3;Iteration 4;Iteration 5;Iteration 6;Iteration 7;Iteration 8;Iteration 9;Iteration 10;Iteration 11;Iteration 12;Iteration 13;Iteration 14;Iteration 15;Iteration 16;Average
kernel:rbf | gamma:scale | nu:0.05;0.3196017236282602;0.3944557430513567;0.4274013318906665;0.4290603761139896;0.3938484495120623;0.37253950263445096;0.391897956708616;0.31165503286136476;0.3571766326079235;0.37130962383238025;0.39377698295204433;0.34828355585115606;0.3426811717171047;0.2588427680366491;0.3376717074952181;0.4534112208794427;0.35593154186913334;0.3682085483318717
kernel:rbf | gamma:scale | nu:0.05;0.3196017236282602;0.3944557430513567;0.4274013318906665;0.4290603761139896;0.3938484495120623;0.37253950263445096;0.391897956708616;0.31165503286136476;0.3571766326079235;0.37130962383238025;0.39377698295204433;0.34828355585115606;0.3426811717171047;0.2588427680366491;0.3376717074952181;0.4534112208794427;0.35593154186913334;0.3682085483318717
kernel:rbf | gamma:scale | nu:0.1;0.34791093673989126;0.43882447977797856;0.49515802116958185;0.49039279636982414;0.460438338464529;0.44111546732677;0.4406086178238077;0.34805072554949834;0.40390536108694197;0.4296875;0.44439617903433326;0.40161578301980055;0.3822674418604651;0.2923481927944651;0.3540225374147286;0.5133167356314878;0.41529203263247966;0.417608890982152
kernel:rbf | gamma:scale | nu:0.1;0.34791093673989126;0.43882447977797856;0.49515802116958185;0.49039279636982414;0.460438338464529;0.44111546732677;0.4406086178238077;0.34805072554949834;0.40390536108694197;0.4296875;0.44439617903433326;0.40161578301980055;0.3822674418604651;0.2923481927944651;0.3540225374147286;0.5133167356314878;0.41529203263247966;0.417608890982152
kernel:rbf | gamma:scale | nu:0.15;0.37903096716115037;0.48344434883011633;0.5388729230478297;0.5392128179003315;0.5137319361687556;0.49309821015784955;0.47073959810851956;0.36840568069803953;0.4480979908747714;0.4935183768974613;0.4985766045548654;0.435647527554364;0.4078906399455863;0.3301231656184487;0.38400610963502246;0.5496977508834253;0.4375706790401395;0.4571567839456869
kernel:rbf | gamma:scale | nu:0.15;0.37903096716115037;0.48344434883011633;0.5388729230478297;0.5392128179003315;0.5137319361687556;0.49309821015784955;0.47073959810851956;0.36840568069803953;0.4480979908747714;0.4935183768974613;0.4985766045548654;0.435647527554364;0.4078906399455863;0.3301231656184487;0.38400610963502246;0.5496977508834253;0.4375706790401395;0.4571567839456869
kernel:rbf | gamma:scale | nu:0.2;0.4091471726236604;0.513903844451887;0.5720301352972097;0.5681891084955708;0.5538707141444688;0.5275829029043537;0.48169141980369434;0.39017144000850634;0.48727758200107674;0.5338627731465496;0.5257006171019538;0.47109615707655456;0.44230565886185974;0.35788335090875256;0.4024448541965444;0.5744971989276992;0.4702841011329639;0.48717288418137095
kernel:rbf | gamma:scale | nu:0.2;0.4091471726236604;0.513903844451887;0.5720301352972097;0.5681891084955708;0.5538707141444688;0.5275829029043537;0.48169141980369434;0.39017144000850634;0.48727758200107674;0.5338627731465496;0.5257006171019538;0.47109615707655456;0.44230565886185974;0.35788335090875256;0.4024448541965444;0.5744971989276992;0.4702841011329639;0.48717288418137095
kernel:rbf | gamma:scale | nu:0.25;0.43323179241962695;0.5369036347919154;0.6007248225611067;0.5777234785745913;0.5807698305657617;0.5567745661413701;0.48670302574039054;0.39974030364496893;0.5263937140059223;0.5698036165662065;0.549026754117862;0.4981606724791634;0.4627647828606405;0.3865400152099635;0.4308527674635746;0.5952270028159632;0.485012151508438;0.5103737018510275
kernel:rbf | gamma:scale | nu:0.25;0.43323179241962695;0.5369036347919154;0.6007248225611067;0.5777234785745913;0.5807698305657617;0.5567745661413701;0.48670302574039054;0.39974030364496893;0.5263937140059223;0.5698036165662065;0.549026754117862;0.4981606724791634;0.4627647828606405;0.3865400152099635;0.4308527674635746;0.5952270028159632;0.485012151508438;0.5103737018510275
